clause_rela,prec_part,sum
SubAdv,_>CR_B_B_W_B_,1
Main,_W_GM_<M_<M_W_B_,1
Main,_W_XRB[_,1
Main,_W_GM_<L_W_<L_B_HMH_,1
Main,_W_B_FRP[_,1
SubArg,_KJ_B_W_B_,1
Main,_K_W_K_KN_,1
Main,_W_>P_B_>T==_,1
SubAdv,_>M_>MNM_<L_,1
Main,_W_>T_B_B_,1
Main,_W_GM_MN_ZH_,1
Main,_W_GM_ZH_<L_,1
Main,_W_HBL/_,1
SubArg,_>M_BRK[_,1
SubAdv,_>K_,1
SubAdv,_W_W_W_,1
Main,_W_B_B_L_,1
SubAdv,_>K_>CR_,1
SubAdv,_W_>M_<D_>LH_,1
Main,_W_B_L_ZH_,1
Main,_W_B_L_,1
Main,_W_B_KN_,1
SubAdv,_>K_>M_>W_,1
SubAdv,_>K_KJ_<WD[_,1
SubArg,_KJ_>T==_,1
Main,_W_GM_<BR[_,1
Main,_W_GM_<D_W_,1
Main,_W_GM_<L_,1
SubAdv,_<QB/_KJ_Z>T_,1
SubAdv,_>M_>MR[_,1
SubArg,_KJ_CXT[_,1
Main,_W_>TMWL/_L_,1
Main,_W_BJN/_,1
SubAdv,_>K_K_>CR_,1
Main,_W_>YL/_,1
Main,_W_>XRWN/_<L_,1
Main,_W_>XR/_W_,1
SubAdv,_W_>M_<LM[_,1
SubArg,_KJ_CM_,1
SubAdv,_>M_<D_,1
Main,_W_>T_W_W_W_,1
Main,_W_>T_W_>T_W_W_,1
SubAdv,_>M_<FH[_,1
Main,_W_HJK_,1
Main,_W_HNH_MHRH/_QL/_,1
Main,_W_HW>_,1
Main,_W_MN_W_MN_B_BJN/_W_BJN/_L_,1
Main,_W_MXR/_>L_,1
Main,_W_B<D/_,1
Main,_W_BJN/_L_,1
SubAdv,_W_>M_>LH_,1
Main,_W_BKH[_,1
Main,_W_>P_L_,1
Main,_W_>N_MN_,1
Main,_W_BZZ[_,1
Main,_MN_>KL[_,1
Main,_W_>M_>T_,1
SubAdv,_>M_B_>T==_B_,1
SubAdv,_>M_B_W_B_W_B_,1
Main,_W_>L_W_,1
Main,_W_>L_MN_,1
Main,_W_>L_MJ_MN_,1
Main,_W_>T_MN_,1
Main,_W_>T_W_>T_B_,1
Main,_W_>T_W_>T_W_,1
Main,_W_>T_W_>T_W_>T_,1
Main,_W_BL<DJ_,1
SubArg,_KJ_NGD[_,1
Main,_MN_BRX[_,1
SubAdv,_>P_>M_,1
Main,_W_<D_HNH==_,1
Main,_W_>K_>T_L_,1
Main,_W_>KL[_,1
SubAdv,_W_>M_>L_,1
Main,_W_>JKKH_,1
Main,_W_<TH_JXD/_B_W_,1
Main,_W_<TH_<L_,1
SubAdv,_W_>M_>MR[_,1
Main,_W_<M_<L_,1
SubAdv,_>M_DRK/_,1
Main,_W_<L_MN_<D_,1
Main,_W_<L_MJ_,1
SubAdv,_>M_JD<[_,1
Main,_W_<FH[_,1
Main,_W_<D_MTJ_,1
SubAdv,_W_>M_BW>[_,1
SubAdv,_LWL>_,1
Main,_W_<D_>N_,1
Main,_RGM[_,1
Main,_W_<BV[_,1
Main,_TMJD/_,1
Main,_SQL[_,1
Main,_SBJB/_,1
Main,_RXM[_,1
Main,_RQ_W_W_W_,1
SubAdv,_>M_LMD[_,1
Main,_MN_W_W_<D_,1
Main,_RQ_RXQ[_,1
Main,_RQ_MN_>LH_,1
Main,_RQ_L_>L_,1
Main,_RQ_L_>L===_,1
SubAdv,_W_>M_>XR/_,1
SubAdv,_LM<N_B_,1
Main,_RQ_>L_,1
SubArg,_KJ_L_L_L_W_L_,1
Main,_RJB[_,1
SubAdv,_>M_R>H[_,1
Main,_MN_<TH_,1
Main,_PDH[_,1
Main,_RB/_,1
Main,_R>CWN/_,1
SubAdv,_KJ_PTX[_,1
Main,_QVR[_,1
Main,_QR<[_,1
Main,_QL/_MHRH/_,1
Main,_QBY[_,1
Main,_PTX[_,1
Main,_PT>M_,1
SubAdv,_>M_MY>[_,1
Main,_PRX[_,1
SubAdv,_>M_NGD[_,1
SubAdv,_>M_PFH[_,1
Main,_PH_,1
SubArg,_KJ_B_B_W_B_,1
SubAdv,_>M_MCL[_,1
SubAdv,_>M_M>N[_,1
Main,_NKX=/_,1
Main,_NW<[_,1
Main,_NKH[_,1
Main,_NGD[_,1
SubAdv,_>M_RBH[_,1
Main,_NF>[_,1
Main,_NBL[_,1
SubArg,_KJ_MLK[_,1
SubAdv,_>M_VRP[_,1
SubAdv,_>M_W_,1
Main,_MWL[_,1
SubAdv,_W_>M_B_>LH_,1
Main,_MR/_,1
Main,_MN_ZH_W_MN_ZH_L_W_L_>L_W_>L_MN_W_MN_L_,1
Main,_MN_ZH_,1
Main,_MN_W_ZH_W_<D_W_<D_,1
Main,_NQM[_,1
SubAdv,_W_>M_>W_,1
Main,_VM>[_,1
Main,_RQ_W_W_,1
SubAdv,_>M_XBL[_,1
SubAdv,_>M_XRC[_,1
SubAdv,_>M_Z>T_,1
Main,_MN_MN_W_MN_,1
Main,_MN_MN_KMW_,1
Main,_MN_MN_<TH_,1
Main,_MN_L_W_,1
Main,_MN_L_B_,1
SubAdv,_W_>M_B_Z>T_,1
SubAdv,_W_>M_CKB[_,1
Main,_MN_B_W_MN_B_,1
Main,_MN_B_B_,1
SubAdv,_>PS/_KJ_CMD[_,1
Main,_M<V/_M<V/_,1
SubAdv,_BJN/_,1
Main,_L_Z>T_,1
Main,_MN_W_<D_L_,1
Main,_MN_BJN/_CM_,1
SubArg,_KJ_DBR[_,1
SubAdv,_>P_,1
SubAdv,_>T_>CR_,1
Main,_MN_<L_L_,1
Main,_MN_<L_,1
SubAdv,_W_>M_GNB[_,1
Main,_MJ_ZH_K_,1
Main,_MN_W_MN_W_<D_,1
SubArg,_<L_MH_,1
SubArg,_KJ_NXC[_,1
Main,_MJCRJM/_,1
Main,_MH_MN_,1
SubArg,_KJ_QWM[_,1
Main,_MHR=[_,1
SubAdv,_>XR/_>CR_,1
