cl_args,mother_verbtype,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
_W_AV,wayq,0.49,-0.19,-0.21,-0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,infc,-0.06,-0.01,-0.17,0.27,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,qtl,-0.18,0.06,-0.05,-0.01,-0.01,0.06,0.09,0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,wayq,0.07,-0.17,-0.19,-0.06,-0.01,0.21,0.14,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
SV,wayq,0.15,-0.08,-0.04,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
CV,wqtl,0.03,0.1,-0.06,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,wqtl,-0.31,-0.12,0.55,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,yqtl,-0.23,-0.17,0.48,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,infc,-0.28,-0.19,0.55,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,qtl,-0.12,-0.11,0.25,-0.04,-0.01,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,impv,-0.33,-0.12,0.55,-0.07,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,impv,-0.02,0.22,-0.08,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,Ø,-0.15,0.19,0.05,-0.08,-0.01,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
V,impv,-0.28,0.36,0.01,-0.08,-0.01,0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,yqtl,-0.14,0.09,0.12,-0.08,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02
QV,wayq,-0.36,0.34,-0.09,0.13,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,ptcp,-0.11,0.18,-0.14,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,yqtl,-0.24,0.2,0.14,-0.08,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,Ø,0.35,-0.1,-0.15,-0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,wayq,0.36,-0.12,-0.13,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,infc,-0.25,0.34,-0.03,-0.08,-0.01,-0.01,-0.01,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0
V,ptcp,-0.32,0.07,0.31,-0.06,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,ptcp,0.1,-0.03,-0.1,-0.01,-0.01,-0.01,0.02,0.02,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
QV,qtl,-0.28,0.29,-0.09,0.11,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,infc,0.05,-0.09,-0.16,0.18,-0.01,-0.01,0.02,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0
CSV,yqtl,-0.27,0.36,-0.0,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSV,Ø,-0.29,0.29,-0.05,0.05,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,ptcp,-0.09,0.14,-0.13,0.11,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,yqtl,-0.26,0.2,0.09,-0.08,0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSV,qtl,-0.12,-0.03,0.01,0.14,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,infc,0.03,0.08,-0.03,-0.08,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,Ø,-0.07,0.01,0.04,0.01,-0.01,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,impv,-0.33,-0.05,0.45,-0.08,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,Ø,-0.36,0.45,-0.12,0.02,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,wqtl,-0.26,-0.05,0.32,-0.08,0.09,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,yqtl,-0.29,0.12,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CV,qtl,-0.07,0.0,-0.14,0.2,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,impv,-0.16,0.17,0.09,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSV,wqtl,-0.35,0.48,-0.06,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,wayq,-0.03,-0.09,-0.14,0.28,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSV,impv,-0.3,0.25,0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,impv,-0.12,0.36,-0.13,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_RV,qtl,0.21,-0.07,-0.22,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,ptcp,-0.03,-0.1,0.24,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,ptcp,-0.23,0.1,0.24,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,yqtl,-0.23,0.2,-0.06,-0.08,0.09,-0.01,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,wqtl,0.2,0.07,-0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SAV,qtl,-0.16,-0.2,0.47,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IV,wayq,-0.25,0.34,0.02,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COV,Ø,-0.31,0.4,-0.1,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IV,Ø,-0.37,0.25,-0.03,-0.08,0.06,-0.01,-0.01,-0.0,0.19,-0.0,-0.0,-0.0,-0.0,-0.0
COV,yqtl,-0.18,0.31,-0.09,-0.08,0.06,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,infc,-0.43,0.38,-0.22,0.29,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,Ø,-0.18,0.19,-0.15,-0.08,-0.01,0.06,0.18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COV,impv,-0.36,0.49,-0.08,-0.08,0.06,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAV,Ø,0.17,-0.05,-0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,yqtl,-0.07,0.11,-0.0,-0.08,0.06,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSV,wayq,0.27,-0.17,-0.21,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COV,qtl,-0.2,0.14,-0.06,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QAV,Ø,-0.26,0.17,0.04,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,wqtl,-0.18,0.34,-0.13,-0.08,0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAV,qtl,0.07,-0.17,0.2,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ASV,Ø,0.24,-0.08,-0.05,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AOV,qtl,-0.09,0.0,0.2,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,wqtl,0.07,0.0,0.04,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SAV,Ø,0.21,-0.07,-0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,infc,0.21,-0.07,-0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,yqtl,-0.23,0.05,-0.01,0.02,-0.01,-0.01,-0.01,0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ASV,qtl,0.07,-0.15,0.09,-0.08,-0.01,0.09,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IV,qtl,-0.21,0.31,-0.1,-0.08,-0.01,-0.01,-0.01,-0.0,0.11,-0.0,-0.0,-0.0,-0.0,-0.0
OV,impv,-0.43,0.31,0.12,-0.08,0.1,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OAV,qtl,0.24,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IV,yqtl,-0.09,-0.03,0.23,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_QV,qtl,-0.18,0.38,-0.21,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IIV,wayq,-0.43,0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ISV,Ø,-0.18,0.0,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COV,wayq,0.0,-0.25,-0.21,0.49,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_IV,wayq,0.14,-0.11,-0.21,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,wqtl,-0.26,0.25,-0.21,0.08,-0.01,-0.01,0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OAV,qtl,-0.09,0.08,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,ptcp,-0.43,0.25,-0.05,-0.08,-0.01,-0.01,0.16,0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SOV,Ø,-0.09,-0.08,-0.05,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.33,-0.0
QAV,qtl,-0.09,0.25,-0.21,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ASV,wayq,-0.09,0.25,-0.21,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CV,Ø,0.07,-0.08,-0.21,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_QV,Ø,-0.09,-0.25,-0.05,0.42,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,ptcp,-0.43,-0.08,0.45,-0.08,-0.01,0.16,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COV,wqtl,-0.26,0.42,-0.21,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,ptcp,0.07,-0.08,-0.21,0.08,-0.01,-0.01,0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IV,impv,-0.09,0.42,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QAV,wayq,0.17,-0.05,-0.21,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IOV,qtl,-0.43,-0.25,0.19,0.12,0.19,0.19,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,infc,-0.23,0.55,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,wqtl,-0.03,0.15,-0.21,-0.08,0.19,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ISV,wayq,-0.43,0.15,0.19,-0.08,-0.01,-0.01,0.19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ISV,qtl,0.17,-0.05,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,0.2,-0.0,-0.0,-0.0,-0.0,-0.0
RV,infa,0.37,-0.05,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CIV,wayq,-0.43,0.75,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CAV,ptcp,-0.43,0.35,-0.01,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,impv,-0.03,-0.05,0.19,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RSV,Ø,-0.43,-0.25,0.79,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,wqtl,-0.03,0.15,-0.21,-0.08,0.19,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CV,yqtl,-0.43,-0.05,0.59,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,ptcp,0.57,-0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_ISV,wayq,0.57,-0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_IV,wqtl,-0.43,0.55,-0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SAV,wayq,0.57,-0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_RV,Ø,0.07,0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAV,yqtl,-0.18,-0.25,0.54,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAV,wayq,0.07,-0.25,0.04,0.17,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAV,ptcp,-0.43,0.5,0.04,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,wqtl,0.32,0.0,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,yqtl,-0.43,0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_ASV,Ø,0.07,0.0,0.04,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OAV,wayq,0.57,-0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ASV,yqtl,-0.18,0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
CQV,qtl,0.32,-0.25,0.04,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SOV,qtl,-0.43,-0.25,0.79,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_ASV,qtl,-0.09,-0.25,-0.21,0.58,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,infa,-0.43,0.42,-0.21,-0.08,-0.01,0.33,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CAV,Ø,0.24,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RSV,qtl,-0.09,0.08,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IAV,wayq,-0.09,0.42,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IAV,yqtl,-0.43,0.42,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OAV,wayq,-0.09,-0.25,0.45,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OAV,Ø,0.24,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OAV,ptcp,-0.43,-0.25,0.45,-0.08,0.33,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CAV,qtl,-0.43,0.75,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IOV,wayq,-0.09,0.42,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RSV,yqtl,-0.43,-0.25,0.79,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SOV,yqtl,0.24,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IV,infc,-0.09,0.08,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_IV,qtl,-0.43,0.75,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CASV,yqtl,-0.09,0.08,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ASV,impv,0.24,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,infa,-0.43,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.67,-0.0,-0.0,-0.0
CSV,infc,0.24,-0.25,-0.21,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSAV,yqtl,-0.43,-0.25,0.79,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QOV,Ø,-0.43,0.08,-0.21,0.58,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QSV,qtl,-0.09,-0.25,-0.21,0.25,-0.01,-0.01,-0.01,-0.0,0.33,-0.0,-0.0,-0.0,-0.0,-0.0
QV,ptcp,-0.43,0.08,-0.21,0.25,0.33,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,wqtl,-0.43,-0.25,0.45,-0.08,0.33,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CQV,yqtl,-0.43,0.25,-0.21,-0.08,-0.01,-0.01,0.49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ISV,infc,-0.43,0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ISV,impv,-0.43,0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_RV,ptcp,0.07,-0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COV,ptcp,-0.43,0.75,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CSV,infa,-0.43,0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CIV,Ø,-0.43,0.75,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CV,wqtl,-0.43,-0.25,0.79,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CV,impv,-0.43,0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IAV,Ø,0.07,0.25,-0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,infa,0.07,-0.25,0.29,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
