genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
PRES.. ~ PRES.PERF.IND,-0.17,0.28,0.12,-0.17,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF.IND ~ PRES.PROG.IND,-0.11,0.42,-0.08,-0.17,-0.03,-0.01,-0.01,-0.01,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..IND ~ PRES..MOD,-0.07,-0.23,-0.08,0.28,0.01,0.03,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,0.04,-0.0
PAST..IND ~ PAST..SUBJ,-0.1,-0.14,-0.12,0.46,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..IND ~ PRES..MOD,0.08,0.04,0.11,-0.17,-0.03,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..IND ~ PRES.PROG.IND,0.29,0.08,-0.1,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PAST..IND,-0.04,0.04,-0.1,0.04,-0.03,-0.01,0.04,-0.01,0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.05,-0.0,-0.0
PRES.. ~ PRES..IND,0.07,-0.16,0.24,-0.17,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.06,-0.0,-0.0,-0.0
PRES..MOD ~ PRES.PERF.IND,-0.06,0.11,0.13,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08
FUT..IND ~ PAST..IND,0.29,-0.23,0.1,-0.17,-0.03,0.09,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PRES..IND,-0.09,-0.11,0.36,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,0.11,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PRES.PERF.IND,-0.09,0.33,-0.09,-0.17,0.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PAST.PROG.IND,-0.31,-0.23,-0.2,0.67,-0.03,-0.01,-0.01,0.16,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF.IND ~ PRES.PERF_PROG.IND,0.09,0.18,0.0,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..IND ~ PRES.PROG.IND,0.29,-0.02,0.0,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES.PERF.IND,0.44,-0.23,-0.2,0.08,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES..MOD,-0.06,0.53,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ past.PERF_PROG.IND,-0.31,-0.23,-0.2,0.83,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND ~ PRES.PERF.IND,-0.31,0.53,0.05,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PAST..SUBJ,-0.31,-0.23,0.05,0.33,0.22,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES..IND,-0.31,0.11,0.47,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES..MOD,-0.31,0.11,0.13,0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND ~ PRES..,-0.31,-0.23,-0.2,0.5,-0.03,0.32,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PAST.PERF.IND,0.03,-0.23,-0.2,0.5,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.. ~ PRES..MOD,0.36,-0.23,0.13,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND ~ PRES..,0.03,-0.23,0.47,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PRES..MOD,-0.31,-0.23,-0.2,0.83,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ ~ PAST.PERF.IND,-0.31,0.28,-0.2,0.33,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ PRES..,0.19,-0.23,0.3,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES..,-0.31,-0.23,-0.2,0.83,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND ~ FUT..MOD,0.69,-0.23,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND ~ FUT.PERF.IND,0.19,-0.23,0.3,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF_PROG.IND ~ PRES.PROG.IND,-0.31,-0.23,0.8,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND ~ PAST..SUBJ,0.69,-0.23,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND ~ PRES.PROG.IND,0.69,-0.23,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..MOD ~ PRES.PERF.IND,-0.31,0.78,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT.PERF.IND ~ PRES.PERF.IND,-0.31,0.78,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..IND ~ past.PERF_PROG.IND,-0.31,-0.23,-0.2,0.83,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES..,-0.31,-0.23,-0.2,0.83,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES..IND,-0.31,-0.23,0.8,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND ~ PRES..IND,-0.31,-0.23,0.8,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND ~ past.PERF_PROG.IND,-0.31,-0.23,-0.2,0.83,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.. ~ PRES.PROG.IND,-0.31,0.78,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
.. ~ FUT..IND,0.69,-0.23,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
