lex,stem,sum
נבט,hif,3
יאל,nif,3
פנה,qal,3
נאץ,qal,3
פנה,piel,3
אוה,hit,3
חשׁך,qal,3
יחל,piel,3
נשׂג,hif,3
לקט,piel,3
לקח,nif,3
ירשׁ,hif,3
דמה,piel,3
גזר,nif,3
עשׁק,qal,3
צרף,qal,3
יטב,hif,3
שׂבע,hif,3
קרה,qal,3
צלח,hif,3
קדר,qal,3
כמר,nif,3
גדף,piel,3
שׁוע,piel,3
גדר,qal,3
רפה,qal,3
חסר,qal,3
תלל,hif,3
חקר,qal,3
גער,qal,3
אזל,qal,3
כלל,qal,3
פצה,qal,3
כלם,nif,3
נשׂא,piel,3
לאה,hif,3
משׁל,nif,3
בעת,nif,3
טהר,hit,3
נצב,nif,3
חבא,hif,3
בין,hif,3
סגר,piel,3
שׁכל,piel,3
קבץ,nif,3
מחה,qal,3
בקע,qal,3
הלם,qal,3
אפס,qal,3
מחץ,qal,3
שׁקף,hif,3
רכב,qal,3
עבד,hif,3
בקע,piel,3
הלך,piel,3
בער,nif,3
ספר,qal,3
עגב,qal,3
שׁחח,qal,3
עכר,qal,3
אלם,nif,3
סכל,nif,3
הרס,qal,3
יגע,hif,3
שׁלח,pual,3
אפף,qal,3
טעם,qal,3
אמן,nif,3
רום,qal,3
עלל,piel,3
רגז,qal,3
זכך,qal,3
שׁנן,qal,3
מרר,qal,3
זיד,hif,3
נתק,nif,3
סבב,nif,3
תעה,hif,3
בעל,qal,3
אנף,hit,3
נקע,qal,3
טבע,qal,3
אמץ,qal,3
חיל,pual,3
נקב,nif,3
רחץ,qal,3
נוח,qal,3
רחם,piel,3
נטה,hif,3
טוב,hif,3
שׁלם,piel,3
אבד,piel,3
שׁלם,hif,3
נוף,hif,3
שׁאג,qal,2
פגע,qal,2
פקד,hof,2
צוק,hif,2
שׁאן,piel,2
גלשׁ,qal,2
געל,qal,2
צעד,qal,2
פלג,nif,2
פגע,hif,2
קהל,hif,2
שׁאף,qal,2
באשׁ,nif,2
פגר,piel,2
דלה,qal,2
בדל,nif,2
נחל,qal,2
רצץ,piel,2
גדע,piel,2
קבץ,piel,2
פור,hif,2
דין,qal,2
גדע,nif,2
פזר,piel,2
דחף,nif,2
גוע,qal,2
עטר,piel,2
פער,qal,2
עות,piel,2
פרשׂ,piel,2
פאר,piel,2
רעשׁ,qal,2
בוך,nif,2
הרה,qal,2
קלל,nif,2
שׁטף,qal,2
ברא,nif,2
רעשׁ,hif,2
המה,qal,2
הלך,hif,2
הלל,piel,2
אשׁם,qal,2
קצץ,piel,2
אצר,qal,2
קצף,hif,2
קום,piel,2
קום,hof,2
ספק,qal,2
צמת,nif,2
פלל,hit,2
פלל,piel,2
ארשׂ,pual,2
דבר,nif,2
סקל,pual,2
נכר,hif,2
קרב,piel,2
סור,hof,2
אמר,hif,2
חבל,piel,2
חבא,nif,2
נפץ,qal,2
נצב,hif,2
שׁכל,qal,2
נשׁף,qal,2
קרה,piel,2
זור,qal,2
בקע,nif,2
בושׁ,piel,2
סכך,qal,2
נכר,piel,2
אסר,qal,2
סבל,qal,2
אנף,qal,2
זכה,piel,2
זבח,piel,2
קרה,nif,2
סלח,qal,2
נתץ,nif,2
סות,hif,2
זלל,nif,2
רמה,qal,2
רוה,hif,2
נכה,pual,2
נצץ,hif,2
הרס,nif,2
בלה,qal,2
זרע,qal,2
בלל,qal,2
נקף,hif,2
רדה,qal,2
בלע,nif,2
זרח,qal,2
זרה,piel,2
בלע,qal,2
בנה,nif,2
זעם,qal,2
בזא,qal,2
רום,piel,2
רבה,piel,2
רכך,qal,2
נצר,qal,2
זרק,qal,2
זנה,hif,2
שׁלה,qal,2
נחם,piel,2
רחק,piel,2
רוע,hif,2
שׁלך,hof,2
חגר,qal,2
שׁזף,qal,2
בוז,qal,2
דלף,qal,2
לעג,qal,2
חרץ,qal,2
אוץ,qal,2
אמץ,piel,2
נגף,qal,2
שׂרה,qal,2
תפשׂ,nif,2
נדב,hit,2
מול,nif,2
נאה,piel,2
יכח,hif,2
אלח,nif,2
חפה,piel,2
מלט,piel,2
חתר,qal,2
שׁפל,hif,2
שׁקד,qal,2
ידע,hof,2
טבח,qal,2
אכל,pual,2
לחץ,qal,2
חנף,qal,2
תעב,hif,2
מטר,hif,2
מתק,qal,2
למד,qal,2
נוא,hif,2
חרשׁ,qal,2
יתר,hif,2
ירה,hif,2
קוץ,qal,2
חכה,piel,2
כהה,piel,2
נוע,hif,2
ירשׁ,qal,2
חרב,pual,2
תלה,piel,2
שׁלף,qal,2
כול,piel,2
יפע,hif,2
נאר,piel,2
חטא,hif,2
טפח,piel,2
שׁמט,qal,2
חיל,qal,2
אור,hif,2
נדח,nif,2
נהג,piel,2
ישׁר,qal,2
שׁמם,hif,2
כון,pual,2
חרשׁ,hif,2
נגשׂ,nif,2
טהר,qal,2
יחשׂ,hit,2
נהג,qal,2
חנן,qal,2
טוב,qal,2
מצא,hif,2
לבב,piel,2
מסס,nif,2
מסך,qal,2
חלם,qal,2
שׁפך,nif,2
ינה,hif,2
לוה,nif,2
יעד,nif,2
טוח,qal,2
דרשׁ,nif,2
עמל,qal,2
שׂחק,qal,2
עמם,qal,2
עמס,hif,2
עמק,hif,2
ענה,hit,2
עצב,nif,2
בשׁל,piel,2
עצם,qal,2
קטר,piel,2
קטר,hif,2
מות,hof,2
ערה,hif,2
שׁען,nif,2
נחה,hif,2
חפה,qal,2
כלא,qal,2
תעב,piel,2
לקט,qal,2
כרת,pual,2
שׁרק,qal,2
חמם,qal,2
מול,qal,2
חנן,hit,2
מהר,piel,2
מלל,piel,2
ידה,hif,2
חלץ,qal,2
כחשׁ,piel,2
יגה,hif,2
חשׂף,qal,2
יסד,pual,2
חקר,nif,2
מוג,nif,2
שׁמר,nif,2
מרה,hif,2
כסה,pual,2
כסף,nif,2
חצב,qal,2
מרר,hif,2
שׂטה,qal,2
ליץ,hif,1
מהר,nif,1
לקק,qal,1
לחם,qal,1
מהה,hit,1
מחק,qal,1
רקד,qal,1
לחך,piel,1
לון,hif,1
לוט,qal,1
לוה,qal,1
מוט,nif,1
להט,piel,1
מוט,hit,1
רצח,qal,1
מוט,qal,1
מור,hif,1
מור,nif,1
לעע,qal,1
ערם,nif,1
עשׁן,qal,1
עשׁר,hif,1
רפא,qal,1
רפה,hit,1
רפה,piel,1
רצץ,qal,1
כתב,piel,1
כתת,piel,1
יצב,hit,1
מושׁ,qal,1
מכר,hit,1
שׁאה,qal,1
יעץ,nif,1
יפה,piel,1
ילל,hif,1
כרע,hif,1
כרת,hof,1
כשׁל,hif,1
מנה,nif,1
מנה,piel,1
מנה,qal,1
מנע,nif,1
מסה,hif,1
מסס,hif,1
מעט,piel,1
מעך,pual,1
מלך,hof,1
מרט,pual,1
משׁח,nif,1
משׁשׁ,piel,1
נאף,piel,1
נבא,hit,1
נבל,qal,1
נגה,qal,1
נגע,piel,1
נגר,nif,1
משׁה,qal,1
ערך,hif,1
רשׁע,hif,1
שׂתם,qal,1
שׁאר,qal,1
שׂרד,qal,1
שׁחק,qal,1
שׁחר,piel,1
שׁחר,qal,1
שׁקל,nif,1
שׂבר,piel,1
שׂגב,qal,1
שׂגה,hif,1
שׂור,hif,1
שׂכל,piel,1
שׂכל,qal,1
שׂמח,hif,1
שׁקה,hif,1
תוה,hif,1
רעל,hof,1
תכן,nif,1
תלא,qal,1
תמה,qal,1
תמם,hif,1
תנה,hif,1
תעב,nif,1
תפר,qal,1
יסד,nif,1
רדם,nif,1
שׁפך,pual,1
שׁער,qal,1
שׁחת,nif,1
רחשׁ,qal,1
רעה,piel,1
שׁגח,hif,1
רהב,hif,1
שׁדד,nif,1
שׁדד,qal,1
שׁוב,hof,1
שׁוה,nit,1
שׁוח,qal,1
שׁוט,qal,1
שׁוק,hif,1
רפא,piel,1
רעע,hit,1
רען,piel,1
רעם,qal,1
רדף,hif,1
רוד,qal,1
רעב,qal,1
רוה,piel,1
רום,hof,1
רחב,hif,1
רחב,qal,1
רחף,qal,1
שׁחח,hif,1
רחץ,pual,1
רטשׁ,pual,1
ריר,qal,1
רכב,hif,1
רכך,hif,1
רמם,qal,1
יסף,nif,1
סגר,nif,1
יסד,hof,1
עקשׁ,piel,1
נחשׁ,nif,1
נטה,nif,1
נטע,nif,1
נטר,qal,1
נטשׁ,nif,1
נכל,piel,1
נכר,nif,1
נסך,nif,1
נסע,nif,1
נחת,nif,1
נדף,nif,1
נתע,nif,1
נתץ,pual,1
עטה,hif,1
עיף,qal,1
עכר,nif,1
עלה,hof,1
עלל,hit,1
עלל,pual,1
עלם,hif,1
עלם,nif,1
עלף,pual,1
עלץ,qal,1
ענה,nif,1
עפל,pual,1
עצב,piel,1
עקב,qal,1
נתס,qal,1
נחר,piel,1
נחל,piel,1
נשׁת,qal,1
נצל,nif,1
נקב,qal,1
נקה,nif,1
נקה,piel,1
נקף,piel,1
נקר,piel,1
נקר,pual,1
נשׁא,nif,1
נשׁב,qal,1
נשׁה,piel,1
נשׁה,qal,1
נשׁק,qal,1
נשׂא,nif,1
נחל,hif,1
נשׂק,nif,1
נתח,piel,1
נתך,hif,1
נצה,hif,1
נפח,hif,1
נער,qal,1
נער,nif,1
נוס,hif,1
נוס,piel,1
נוע,qal,1
נוף,qal,1
נזל,hif,1
עקר,piel,1
ערה,piel,1
ינק,hif,1
עזז,hif,1
ישׁר,piel,1
כבד,piel,1
כבס,piel,1
כבשׁ,nif,1
כהה,qal,1
כהן,piel,1
כזב,nif,1
כחד,piel,1
כחל,qal,1
כנס,qal,1
כפן,qal,1
כפף,qal,1
יצת,hif,1
יצר,pual,1
יצר,nif,1
יצג,hif,1
טמא,hotp,1
טמא,qal,1
טרף,pual,1
טרף,qal,1
יאה,qal,1
ידד,qal,1
ידע,piel,1
ידע,poal,1
כפר,pual,1
יחל,hif,1
ימר,hif,1
ישׁע,nif,1
ישׁן,qal,1
ירד,hof,1
סלה,qal,1
עזב,pual,1
עזב,nif,1
עור,nif,1
נתק,hof,1
שׁיח,qal,1
סגר,pual,1
סוג,qal,1
סור,piel,1
סחר,piel,1
סכל,hif,1
סכן,hif,1
נתץ,piel,1
סרר,qal,1
ירא,piel,1
סתם,qal,1
עבד,pual,1
עבה,qal,1
עבר,hit,1
עבשׁ,qal,1
עוה,nif,1
עוה,piel,1
סמך,nif,1
נדב,qal,1
נגשׂ,qal,1
נגשׁ,hif,1
יקשׁ,qal,1
שׁטח,piel,1
פסס,qal,1
שׁיר,piel,1
הגה,qal,1
זעק,nif,1
חלה,hof,1
זרם,poel,1
אמץ,hit,1
זרם,qal,1
זרק,pual,1
חבל,pual,1
חבל,qal,1
חבר,etpa,1
חבר,pual,1
חבשׁ,piel,1
חבשׁ,pual,1
חדד,hof,1
חטא,piel,1
חוה,hsht,1
חול,qal,1
חוס,qal,1
בחן,qal,1
חלה,pual,1
אנח,nif,1
חלל,hof,1
אפק,hit,1
הלל,pual,1
המם,qal,1
חלק,pual,1
הפך,hof,1
הרג,pual,1
זעך,nif,1
אמר,nif,1
אצל,nif,1
דאב,qal,1
חמר,qal,1
אחז,nif,1
חמר,piel,1
ארשׂ,piel,1
חפשׂ,hit,1
גרה,hit,1
גרז,nif,1
גרם,qal,1
חרב,hof,1
גרס,qal,1
גרף,qal,1
גרשׁ,piel,1
דבק,hif,1
חמס,qal,1
אזן,hif,1
באר,piel,1
דגר,qal,1
דוח,hif,1
חקק,qal,1
חצץ,pual,1
חצה,qal,1
דוך,qal,1
חצב,pual,1
דכא,piel,1
דכא,pual,1
חמק,qal,1
אכף,qal,1
אפה,qal,1
הרה,pual,1
גלח,pual,1
גאל,piel,1
חשׁה,hif,1
גאל,nif,1
טבל,nif,1
בקע,hof,1
בלה,piel,1
חתך,nif,1
בושׁ,hif,1
חרד,qal,1
בוס,piel,1
גמר,qal,1
גלל,qal,1
בטח,hif,1
חשׁב,piel,1
בין,hit,1
אבל,hif,1
באשׁ,hit,1
גדע,qal,1
גזז,nif,1
טהר,piel,1
גאה,qal,1
בין,nif,1
חתם,piel,1
חתת,hif,1
בין,qal,1
גוז,qal,1
אגר,qal,1
בשׁל,qal,1
געל,nif,1
חפר,hif,1
חלק,piel,1
חלץ,piel,1
זבד,qal,1
חלל,qal,1
זבח,qal,1
חלל,nif,1
זהר,nif,1
אסר,pual,1
זוע,qal,1
זחל,qal,1
חלק,hif,1
חרב,qal,1
חתם,hif,1
בצע,piel,1
טבע,hof,1
גנב,pual,1
בשׂר,piel,1
חתת,nif,1
בקק,qal,1
חרר,qal,1
ברח,hif,1
בהל,hif,1
בשׁל,hif,1
גדע,pual,1
אבל,hit,1
בשׁל,pual,1
הדר,nif,1
דשׁן,piel,1
שׁיר,qal,1
דשׁן,hotp,1
צוף,hif,1
צוף,qal,1
צוץ,qal,1
צחק,qal,1
פרה,hif,1
פרד,nif,1
פרד,hif,1
פקח,qal,1
עשׁר,qal,1
עשׂה,piel,1
עשׂק,hit,1
עתק,qal,1
פגשׁ,nif,1
פגשׁ,qal,1
פוג,nif,1
פוק,qal,1
ציד,hit,1
פושׁ,nif,1
פלא,hif,1
פלה,hif,1
פסח,qal,1
פסל,qal,1
פצח,qal,1
פצע,qal,1
פקד,pual,1
פחד,hif,1
צלל,qal,1
צוד,qal,1
צהל,qal,1
צבא,qal,1
שׁעע,piel,1
שׁכב,hif,1
שׁכב,pual,1
שׁכח,nif,1
שׁפט,nif,1
שׁכח,piel,1
שׁכם,hif,1
שׁכן,piel,1
שׁלט,qal,1
שׁלל,qal,1
שׁמד,nif,1
שׁמן,qal,1
שׁסה,qal,1
שׁכך,qal,1
פתל,nif,1
טול,hif,1
רגע,qal,1
רגל,tif,1
פרה,qal,1
פרע,hif,1
פרע,qal,1
פרק,hit,1
פרר,hit,1
פרר,piel,1
פשׁט,hif,1
פתה,nif,1
פתה,piel,1
צמא,qal,1
צמח,qal,1
קפד,piel,1
דכה,piel,1
קדר,hit,1
קדשׁ,qal,1
קהה,piel,1
קוט,nif,1
קטן,qal,1
קטף,qal,1
קיא,qal,1
קלה,qal,1
קבר,pual,1
טוה,qal,1
נגשׁ,hof,1
זנח,hif,1
אכל,hif,1
קלע,qal,1
חפז,nif,1
ארר,qal,1
דלק,qal,1
דמם,hif,1
דמם,qal,1
דעך,nif,1
דעך,pual,1
דקר,qal,1
דרך,hif,1
ארר,piel,1
ארך,qal,1
חנן,nif,1
קבץ,qal,1
קבץ,hit,1
קפץ,qal,1
רבד,qal,1
קצה,hif,1
קצר,hif,1
קרא,pual,1
קרה,hif,1
קרס,qal,1
קרע,nif,1
קמל,qal,1
קרר,hif,1
קשׁח,hif,1
קשׁר,hit,1
קשׁר,nif,1
ראה,hof,1
רבץ,qal,1
קבל,piel,1
רגז,hif,1
רגל,qal,1
קשׁה,qal,1
רגע,hif,1
קמט,pual,1
קלל,hif,1
צמת,hif,1
צמת,piel,1
צמת,qal,1
צפד,qal,1
צפן,nif,1
קבב,qal,1
אבד,hif,1
