eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PAST PROG,-0.01,-0.12,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.21,0.08,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.61,0.68,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB,-0.61,0.48,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PERF,-0.01,0.08,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PERF,-0.31,0.38,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.31,-0.12,-0.04,-0.01,0.49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.06,-0.12,-0.04,-0.01,-0.01,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST did not ~ PAST,-0.56,0.63,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,-0.56,0.38,0.21,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ ?VB,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.81,0.55,0.3,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PAST,-0.15,0.21,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ PRES,-0.15,0.21,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?TO INF ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.15,0.21,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,-0.48,0.21,-0.04,-0.01,0.32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,-0.48,0.55,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??PAST,-0.31,-0.12,-0.04,0.49,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES PERF ~ PRES,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
