,x,Wx,Ø,W
MOD lest ~ MOD may,0.67,0.25,-0.81,-0.41
PRES ~ PRES PROG,0.67,-0.11,0.0,-0.41
MOD let ~ MOD must,-2.24,0.46,0.59,0.92
IMPV ~ MOD must,0.74,-0.27,0.0,-0.2
MOD lest ~ PRES,0.74,0.12,-0.83,-0.2
MOD should ~ MOD would,-0.22,0.12,0.0,0.45
MOD shall ~ PAST,0.37,0.12,-0.15,-0.2
MOD might,0.23,-0.49,0.0,0.5
PAST ~ TO INF,0.23,-0.13,0.0,0.0
HAB used to ~ PAST,0.83,-0.0,-0.63,-0.21
MOD let ~ PAST,-1.08,-0.5,3.09,0.0
MOD may ~ MOD must,-0.24,0.3,-0.15,0.54
FUT ~ MOD should,0.83,-0.0,-0.63,-0.21
IMPV ~ MOD can,-1.73,3.57,-0.15,-0.21
MOD let ~ MOD should,0.26,-1.11,0.17,0.6
IMPV ~ MOD should,-0.11,1.55,-0.63,-0.21
PAST ~ PAST PERF,0.12,0.15,0.0,0.0
IMPV ~ PRES PART,-0.27,1.8,-0.42,0.0
MOD is to,2.69,-0.88,-0.42,0.0
MOD is to ~ MOD let,0.12,0.0,0.0,0.22
MOD was to ~ PAST,1.4,-0.9,-0.43,0.25
IMPV ~ TO INF,-1.01,3.0,-0.43,0.0
MOD can ~ MOD could,0.0,0.39,0.0,0.0
MOD can ~ MOD should,2.09,-0.67,-0.21,0.0
MOD should ~ MOD was to,0.9,-0.68,0.0,0.0
MOD can ~ MOD let,-0.56,0.17,0.53,0.32
IMPV ~ PAST,-0.56,1.21,-0.22,0.32
MOD can ~ TO INF,-0.14,0.17,-0.22,0.92
MOD may ~ PRES PART,-1.21,0.43,-0.22,1.74
MOD might ~ MOD would,-0.14,0.17,-0.22,0.92
MOD lest,0.34,-0.68,-0.22,0.92
MOD could ~ MOD might,-0.56,0.17,0.0,0.92
PRES PART ~ TO INF,-0.56,0.43,0.0,0.32
FUT ~ MOD must,-0.14,0.43,0.0,0.0
MOD could ~ MOD would,-0.0,0.17,0.0,0.0
PAST PERF,-0.56,1.21,0.0,0.0
MOD would ~ TO INF,0.16,0.0,-0.0,0.0
MOD lest ~ MOD might,1.5,-0.46,-0.22,0.0
MOD can ~ PRES PART,-0.36,0.82,-0.0,0.0
MOD could ~ PAST,0.0,0.82,-0.22,0.0
MOD is to ~ MOD may,0.66,0.0,-0.22,0.0
FUT ~ PRES PERF,0.16,-0.46,0.63,0.0
MOD shall ~ MOD would,0.66,0.0,-0.22,0.0
MOD let ~ PRES PART,0.0,0.82,-0.22,0.0
FUT going-to ~ MOD shall,0.66,-0.46,-0.22,0.37
FUT ~ FUT going-to,0.66,-0.46,-0.22,0.37
MOD might ~ TO INF,0.0,0.0,-0.0,0.37
PAST ~ PAST PROG,0.0,0.82,-0.22,0.0
MOD might ~ PAST,-0.69,-0.22,0.24,2.23
MOD might ~ MOD should,-0.0,0.0,0.24,0.0
MOD let ~ MOD would,-1.58,0.0,2.6,0.0
MOD was to,-0.17,1.03,0.0,0.0
MOD lest ~ TO INF,1.2,-0.22,0.0,0.0
MOD VB ~ MOD may,-0.17,0.46,0.24,0.0
MOD is to ~ MOD must,0.42,-0.22,0.24,0.0
FUT ~ PRES PROG,0.0,-0.24,0.31,0.51
PAST PERF ~ PRES,0.0,-0.24,0.31,0.51
MOD can ~ PAST,0.0,0.61,0.0,0.0
HAB used to,0.0,0.61,0.0,0.0
IMPV ~ MOD is to,0.2,-0.24,0.31,0.0
MOD VB ~ PRES,0.2,-0.0,0.0,0.0
PRES PERF ~ TO INF,-1.27,-0.0,0.0,2.59
FUT ~ MOD is to,0.9,-0.24,0.0,0.0
IMPV ~ MOD lest,0.0,0.61,0.0,0.0
?VB ~ PAST,0.0,0.61,0.0,0.0
MOD let ~ PRES PERF,-1.27,-0.0,1.88,0.0
MOD should ~ PAST,0.9,-0.24,0.0,0.0
MOD would ~ PRES PART,-0.0,0.0,0.4,0.0
FUT PROG ~ PRES,-0.0,0.25,0.0,0.0
FUT ~ MOD that be,-0.95,1.86,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.25,0.0,0.0
MOD may ~ PRES PERF,-0.0,0.0,0.4,0.0
MOD may ~ PAST,-0.0,0.0,0.0,0.62
MOD shall ~ PRES PERF,-0.21,0.84,0.0,0.0
MOD may ~ MOD might,-0.0,0.25,0.0,0.0
PAST PROG,-0.21,0.84,0.0,0.0
MOD lest ~ MOD would,-0.21,0.84,0.0,0.0
MOD can ~ MOD might,-0.0,0.25,0.0,0.0
MOD need not ~ MOD shall,-0.21,0.84,0.0,0.0
MOD could ~ MOD should,0.6,0.0,0.0,0.0
MOD is to ~ PRES PART,-0.21,0.0,1.19,0.0
MOD could ~ MOD must,0.6,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,0.0,0.77
MOD let ~ MOD that be,0.0,0.38,0.0,0.0
MOD need not ~ PRES,0.0,0.0,0.54,0.0
PAST PROG ~ PRES,0.0,0.38,0.0,0.0
PRES ~ PRES do,-0.63,1.24,0.0,0.0
MOD must ~ MOD should,-0.63,0.38,0.0,0.77
MOD that be,-0.63,0.38,0.0,0.77
MOD must ~ MOD quest must,-0.63,0.38,0.54,0.0
MOD is to ~ PRES,0.0,0.0,0.0,0.77
PRES PROG,0.0,0.38,0.0,0.0
MOD lest ~ MOD let,-0.63,1.24,0.0,0.0
MOD lest ~ MOD should,0.3,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.54,0.0
MOD can ~ MOD must,0.0,0.0,0.54,0.0
MOD could ~ TO INF,-0.63,1.24,0.0,0.0
MOD lest ~ MOD shall,0.0,0.38,0.0,0.0
FUT ~ MOD was to,-0.32,0.0,0.0,1.06
MOD quest must,-0.32,0.62,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,-0.32,0.0,0.0,1.06
PRES PART ~ PRES PROG,-0.0,0.0,0.0,0.0
MOD must ~ TO INF,-0.32,0.0,0.81,0.0
MOD must ~ PRES PART,-0.32,0.62,0.0,0.0
FUT going-to ~ MOD lest,-0.0,0.0,0.0,0.0
PRES ~ PRES shall,-0.0,0.0,0.0,0.0
FUT PERF,-0.32,0.62,0.0,0.0
FUT PERF ~ PRES,-0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,-0.32,0.0,0.81,0.0
MOD is to ~ MOD lest,-0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,-0.0,0.0,0.0,0.0
FUT going-to ~ MOD may,-0.32,0.0,0.0,1.06
PRES ~ PRES can,-0.0,0.0,0.0,0.0
MOD must ~ PRES shall,-0.32,0.62,0.0,0.0
FUT ~ FUT PERF,-0.32,0.0,0.81,0.0
FUT ~ FUT PROG,-0.32,0.62,0.0,0.0
MOD must ~ PRES PROG,-0.32,0.0,0.0,1.06
MOD could ~ PAST PERF,-0.0,0.0,0.0,0.0
FUT ~ MOD,-0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,-0.32,0.62,0.0,0.0
HAB used to ~ PRES,-0.0,0.0,0.0,0.0
FUT ~ PRES shall,-0.32,0.62,0.0,0.0
MOD may ~ MOD would,-0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,-0.0,0.0,0.0,0.0
MOD lest ~ MOD must,-0.32,0.62,0.0,0.0
MOD would ~ PAST PERF,-0.32,0.0,0.81,0.0
MOD lest ~ MOD that be,-0.0,0.0,0.0,0.0
MOD can ~ MOD lest,-0.0,0.0,0.0,0.0
MOD ~ MOD let,-0.32,0.0,0.0,1.06
MOD VB ~ TO INF,-0.0,0.0,0.0,0.0
MOD that be ~ TO INF,-0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,-0.32,0.62,0.0,0.0
MOD VB ~ MOD can,-0.0,0.0,0.0,0.0
JJ ~ PRES,-0.32,0.0,0.0,1.06
MOD let ~ MOD might,-0.32,0.0,0.0,1.06
IMPV ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD ~ PRES,-0.0,0.0,0.0,0.0
MOD should ~ PRES PART,-0.32,0.0,0.0,1.06
MOD let ~ MOD that,-0.32,0.0,0.0,1.06
IMPV ~ MOD need not,-0.0,0.0,0.0,0.0
MOD could ~ MOD shall,-0.32,0.62,0.0,0.0
MOD is to ~ MOD should,-0.0,0.0,0.0,0.0
MOD let ~ VB,-0.32,0.0,0.0,1.06
MOD is to ~ PRES PROG,-0.0,0.0,0.0,0.0
IMPV ~ MOD,-0.32,0.0,0.0,1.06
IMPV not ~ MOD must,-0.32,0.62,0.0,0.0
PAST PROG ~ PRES PART,-0.32,0.62,0.0,0.0
HAB used to ~ PRES PERF,-0.32,0.0,0.81,0.0
HAB used to ~ MOD would,-0.0,0.0,0.0,0.0
MOD may ~ MOD should,-0.0,0.0,0.0,0.0
MOD was to ~ PRES,-0.0,0.0,0.0,0.0
