eng_TAMsimp,x,Wx,Ø,W
MOD let ~ MOD should,0.21,-0.25,-0.02,0.06
MOD can ~ MOD could,-0.04,0.12,-0.02,-0.07
IMPV ~ PAST,-0.25,0.32,-0.14,0.08
MOD could ~ MOD would,0.03,0.04,-0.0,-0.07
IMPV ~ MOD should,0.03,0.18,-0.14,-0.07
FUT ~ MOD must,-0.11,0.18,-0.0,-0.07
MOD lest,0.18,-0.25,-0.14,0.22
MOD should ~ MOD was to,0.32,-0.25,-0.0,-0.07
PAST PERF,-0.25,0.32,-0.0,-0.07
IMPV ~ PRES PART,-0.11,0.32,-0.14,-0.07
MOD might ~ MOD would,-0.11,0.04,-0.14,0.22
IMPV ~ TO INF,-0.25,0.46,-0.14,-0.07
FUT ~ FUT going-to,0.29,-0.25,-0.14,0.1
PRES PART ~ TO INF,-0.21,0.25,0.02,-0.07
MOD lest ~ MOD might,0.46,-0.25,-0.14,-0.07
MOD could ~ PAST,-0.04,0.25,-0.14,-0.07
FUT ~ PRES PERF,0.13,-0.25,0.19,-0.07
MOD can ~ TO INF,-0.04,0.08,-0.14,0.1
MOD is to ~ MOD may,0.29,-0.08,-0.14,-0.07
MOD may ~ PRES PART,-0.37,0.25,-0.14,0.27
MOD could ~ MOD might,-0.21,0.08,0.02,0.1
FUT going-to ~ MOD shall,0.29,-0.25,-0.14,0.1
MOD shall ~ MOD would,0.29,-0.08,-0.14,-0.07
?VB ~ MOD let,0.46,-0.25,-0.14,-0.07
PAST ~ PAST PROG,-0.04,0.25,-0.14,-0.07
MOD can ~ PRES PART,-0.14,0.35,-0.14,-0.07
MOD VB ~ MOD may,-0.14,0.15,0.06,-0.07
MOD is to ~ MOD must,0.26,-0.25,0.06,-0.07
MOD might ~ TO INF,0.06,-0.05,-0.14,0.13
MOD can ~ MOD let,-0.14,0.15,0.06,-0.07
MOD lest ~ TO INF,0.46,-0.25,-0.14,-0.07
MOD would ~ TO INF,0.26,-0.05,-0.14,-0.07
MOD let ~ PRES PART,-0.14,0.35,-0.14,-0.07
MOD might ~ PAST,-0.34,-0.25,0.06,0.53
MOD was to,-0.14,0.35,-0.14,-0.07
MOD might ~ MOD should,0.06,-0.05,0.06,-0.07
MOD should ~ PAST,0.46,-0.25,-0.14,-0.07
MOD VB ~ PRES,0.21,-0.0,-0.14,-0.07
FUT ~ PRES PROG,-0.04,-0.25,0.11,0.18
IMPV ~ MOD lest,-0.04,0.25,-0.14,-0.07
HAB used to,-0.04,0.25,-0.14,-0.07
PAST PERF ~ PRES,-0.04,-0.25,0.11,0.18
MOD can ~ PAST,-0.04,0.25,-0.14,-0.07
FUT ~ MOD is to,0.46,-0.25,-0.14,-0.07
?VB ~ PAST,-0.04,0.25,-0.14,-0.07
PRES PERF ~ TO INF,-0.54,-0.0,-0.14,0.68
MOD could ~ MOD should,0.46,-0.25,-0.14,-0.07
?VB,0.46,-0.25,-0.14,-0.07
PAST PROG,-0.21,0.42,-0.14,-0.07
MOD shall ~ PRES PERF,-0.21,0.42,-0.14,-0.07
MOD can ~ MOD might,0.13,0.08,-0.14,-0.07
MOD could ~ MOD must,0.46,-0.25,-0.14,-0.07
FUT PROG ~ PRES,0.13,0.08,-0.14,-0.07
MOD lest ~ MOD would,-0.21,0.42,-0.14,-0.07
FUT ~ MOD that be,-0.54,0.75,-0.14,-0.07
MOD need not ~ MOD shall,-0.21,0.42,-0.14,-0.07
MOD may ~ PRES PERF,0.13,-0.25,0.19,-0.07
MOD may ~ PAST,0.13,-0.25,-0.14,0.27
MOD may ~ MOD might,0.13,0.08,-0.14,-0.07
PRES PART ~ PRES PERF,0.13,0.08,-0.14,-0.07
MOD is to ~ PRES PART,-0.21,-0.25,0.52,-0.07
MOD let ~ PRES PERF,-0.54,0.08,0.52,-0.07
MOD let ~ MOD would,-0.54,0.08,0.52,-0.07
IMPV ~ MOD is to,0.13,-0.25,0.19,-0.07
MOD would ~ PRES PART,0.13,-0.25,0.19,-0.07
?VB ~ MOD must,-0.04,0.25,-0.14,-0.07
?VB ~ MOD shall,-0.04,0.25,-0.14,-0.07
??VB ~ MOD let,-0.54,0.75,-0.14,-0.07
MOD must ~ MOD should,-0.54,0.25,-0.14,0.43
MOD is to ~ PRES,-0.04,-0.25,-0.14,0.43
MOD can ~ MOD must,-0.04,-0.25,0.36,-0.07
MOD should ~ PRES PERF,-0.04,-0.25,-0.14,0.43
MOD that be,-0.54,0.25,-0.14,0.43
MOD let ~ MOD that be,-0.04,0.25,-0.14,-0.07
PAST PROG ~ PRES,-0.04,0.25,-0.14,-0.07
MOD lest ~ MOD should,0.46,-0.25,-0.14,-0.07
MOD lest ~ MOD shall,-0.04,0.25,-0.14,-0.07
MOD is to ~ TO INF,-0.04,-0.25,0.36,-0.07
MOD need not ~ PRES,-0.04,-0.25,0.36,-0.07
MOD could ~ TO INF,-0.54,0.75,-0.14,-0.07
PRES PROG,-0.04,0.25,-0.14,-0.07
PRES ~ PRES do,-0.54,0.75,-0.14,-0.07
FUT PERF,-0.54,0.75,-0.14,-0.07
FUT ~ MOD,0.46,-0.25,-0.14,-0.07
MOD quest must,-0.54,0.75,-0.14,-0.07
MOD quest must ~ MOD shall,0.46,-0.25,-0.14,-0.07
PRES ~ PRES shall,0.46,-0.25,-0.14,-0.07
MOD should ~ PRES PART,-0.54,-0.25,-0.14,0.93
?VB ~ IMPV,-0.54,0.75,-0.14,-0.07
?VB ~ MOD lest,-0.54,0.75,-0.14,-0.07
MOD that be ~ TO INF,0.46,-0.25,-0.14,-0.07
MOD was to ~ PRES,0.46,-0.25,-0.14,-0.07
MOD would ~ PAST PERF,-0.54,-0.25,0.86,-0.07
MOD ~ PRES,0.46,-0.25,-0.14,-0.07
MOD would ~ PAST PROG,0.46,-0.25,-0.14,-0.07
FUT PERF ~ PRES,0.46,-0.25,-0.14,-0.07
FUT ~ FUT PROG,-0.54,0.75,-0.14,-0.07
PRES ~ PRES can,0.46,-0.25,-0.14,-0.07
PRES PERF ~ PRES PROG,0.46,-0.25,-0.14,-0.07
MOD must ~ TO INF,-0.54,-0.25,0.86,-0.07
FUT going-to ~ MOD is to,0.46,-0.25,-0.14,-0.07
PAST PROG ~ PRES PART,-0.54,0.75,-0.14,-0.07
FUT PROG ~ MOD shall,-0.54,-0.25,0.86,-0.07
PRES PART ~ PRES PROG,0.46,-0.25,-0.14,-0.07
FUT going-to ~ MOD lest,0.46,-0.25,-0.14,-0.07
MOD can ~ MOD lest,0.46,-0.25,-0.14,-0.07
MOD must ~ PRES shall,-0.54,0.75,-0.14,-0.07
MOD lest ~ MOD let,-0.54,0.75,-0.14,-0.07
MOD could ~ MOD shall,-0.54,0.75,-0.14,-0.07
MOD VB ~ TO INF,0.46,-0.25,-0.14,-0.07
MOD could ~ PAST PERF,0.46,-0.25,-0.14,-0.07
MOD VB ~ MOD shall,-0.54,0.75,-0.14,-0.07
MOD could ~ PRES PERF,-0.54,0.75,-0.14,-0.07
MOD VB ~ MOD can,0.46,-0.25,-0.14,-0.07
JJ ~ PRES,-0.54,-0.25,-0.14,0.93
IMPV ~ PRES PERF,0.46,-0.25,-0.14,-0.07
MOD is to ~ MOD lest,0.46,-0.25,-0.14,-0.07
MOD is to ~ MOD should,0.46,-0.25,-0.14,-0.07
MOD is to ~ PRES PROG,0.46,-0.25,-0.14,-0.07
IMPV ~ MOD need not,0.46,-0.25,-0.14,-0.07
MOD lest ~ MOD must,-0.54,0.75,-0.14,-0.07
MOD must ~ PRES PROG,-0.54,-0.25,-0.14,0.93
MOD let ~ MOD might,-0.54,-0.25,-0.14,0.93
IMPV ~ MOD,-0.54,-0.25,-0.14,0.93
MOD let ~ VB,-0.54,-0.25,-0.14,0.93
HAB used to ~ PRES PERF,-0.54,-0.25,0.86,-0.07
HAB used to ~ PRES,0.46,-0.25,-0.14,-0.07
MOD may ~ MOD should,0.46,-0.25,-0.14,-0.07
HAB used to ~ MOD would,0.46,-0.25,-0.14,-0.07
MOD may ~ MOD would,0.46,-0.25,-0.14,-0.07
MOD might ~ PRES PERF,-0.54,-0.25,-0.14,0.93
FUT ~ PRES shall,-0.54,0.75,-0.14,-0.07
MOD must ~ MOD quest must,-0.54,0.75,-0.14,-0.07
MOD must ~ PRES PART,-0.54,0.75,-0.14,-0.07
MOD lest ~ MOD that be,0.46,-0.25,-0.14,-0.07
