lex,stem,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
בחר,qal,0.16,0.76,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ישׁב,qal,0.72,0.06,0.18,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נפל,qal,0.28,0.4,0.04,0.26,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
מלא,qal,0.31,0.06,0.61,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
עזב,qal,0.21,0.64,0.04,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ילד,hif,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עלה,hif,0.76,0.11,0.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עמד,qal,0.39,0.08,0.37,0.08,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ירד,qal,0.61,0.17,0.06,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חפץ,qal,0.25,0.06,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כון,hif,0.26,0.31,0.06,0.34,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׂנא,qal,0.17,0.03,0.77,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁמר,qal,0.35,0.47,0.15,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
חזק,hif,0.94,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מאס,qal,0.16,0.59,0.16,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁלח,piel,0.47,0.13,0.13,0.1,0.03,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יכל,qal,0.03,0.1,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁוב,qal,0.57,0.2,0.1,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
הרג,qal,0.61,0.18,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כרת,qal,0.7,0.19,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁוב,hif,0.52,0.26,0.04,0.15,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
נגד,hif,0.3,0.26,0.19,0.22,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ברך,piel,0.12,0.54,0.15,0.12,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
סור,qal,0.44,0.32,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁאל,qal,0.56,0.24,0.08,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
עשׂה,nif,0.16,0.32,0.36,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קום,qal,0.64,0.16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חלל,hif,0.67,0.17,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
נצל,hif,0.48,0.35,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
שׁכח,qal,0.22,0.61,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בטח,qal,0.3,0.09,0.52,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
ירא,qal,0.74,0.0,0.17,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מצא,nif,0.61,0.09,0.22,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מלא,piel,0.3,0.48,0.09,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קרא,nif,0.14,0.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פקד,qal,0.5,0.23,0.18,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נטה,qal,0.38,0.05,0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ילד,pual,0.86,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בקשׁ,piel,0.67,0.14,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׂרף,qal,0.86,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁאר,nif,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אבה,qal,0.25,0.0,0.0,0.0,0.05,0.65,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
הפך,qal,0.47,0.42,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
זכר,qal,0.26,0.16,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נתן,nif,0.42,0.0,0.42,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יעץ,qal,0.21,0.63,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ראה,hif,0.39,0.44,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁדד,pual,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
זקן,qal,0.35,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נוס,qal,0.81,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קום,hif,0.38,0.5,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כסה,piel,0.56,0.12,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חלל,piel,0.62,0.31,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
סור,hif,0.69,0.19,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
משׁח,qal,0.33,0.27,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חרף,piel,0.2,0.47,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מאן,piel,0.27,0.07,0.53,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ראה,nif,0.5,0.07,0.14,0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
טמא,piel,0.07,0.21,0.43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חרה,qal,0.43,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
אסף,nif,0.71,0.0,0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קנה,qal,0.43,0.36,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
רום,hif,0.57,0.36,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אבד,qal,0.07,0.21,0.57,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כלה,qal,0.14,0.0,0.79,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁכב,qal,0.29,0.07,0.5,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נסע,qal,0.64,0.14,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גמל,qal,0.15,0.77,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פרץ,qal,0.15,0.38,0.15,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מלט,nif,0.54,0.31,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ענה,qal,0.46,0.08,0.38,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ענה,piel,0.31,0.38,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
רבה,hif,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁאר,hif,0.92,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נוח,hif,0.38,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יבשׁ,hif,0.38,0.08,0.46,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כלה,piel,0.17,0.17,0.17,0.42,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
סבב,qal,0.58,0.08,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ברא,qal,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
לחם,nif,0.75,0.08,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פשׂה,qal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
הלך,hit,0.58,0.33,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קדשׁ,hif,0.5,0.33,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חזה,qal,0.5,0.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חשׁב,qal,0.42,0.25,0.08,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁבר,nif,0.25,0.08,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
הפך,nif,0.33,0.42,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁפך,qal,0.17,0.75,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
רעע,hif,0.08,0.83,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פתח,qal,0.45,0.18,0.27,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בגד,qal,0.09,0.73,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פשׁע,qal,0.27,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁבע,hif,0.27,0.0,0.45,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁבר,piel,0.82,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פדה,qal,0.45,0.36,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גדל,qal,0.36,0.09,0.18,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
לבשׁ,qal,0.45,0.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מעל,qal,0.36,0.45,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁית,qal,0.18,0.55,0.18,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כתב,qal,0.55,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יגע,qal,0.18,0.45,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
לכד,qal,0.45,0.09,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גלה,piel,0.1,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גלה,qal,0.1,0.5,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
בושׁ,qal,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חדל,qal,0.5,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פעל,qal,0.1,0.5,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קרב,qal,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ברח,qal,0.2,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מות,hif,0.6,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
טמא,nif,0.3,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁמע,nif,0.3,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
צרר,qal,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קצף,qal,0.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גדל,hif,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מרה,qal,0.44,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עמד,hif,0.56,0.33,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חשׁב,nif,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חזק,qal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁפט,qal,0.33,0.22,0.0,0.33,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יתר,nif,0.56,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
היה,nif,0.22,0.56,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
דרשׁ,qal,0.44,0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
זנח,qal,0.0,0.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נגשׁ,nif,0.67,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נגע,qal,0.44,0.33,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
דבק,qal,0.44,0.11,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פקד,hif,0.11,0.11,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חסה,qal,0.12,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חלה,qal,0.88,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מנע,qal,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קרע,qal,0.38,0.25,0.0,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חיה,hif,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גלה,hif,0.38,0.25,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קרב,hif,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נתץ,qal,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כשׁל,qal,0.12,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
יסר,piel,0.75,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כרע,qal,0.38,0.12,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
עור,piel,0.88,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ישׁע,hif,0.25,0.5,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קלל,qal,0.12,0.0,0.62,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יצר,qal,0.62,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גאל,qal,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עבד,qal,0.38,0.38,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
תקע,qal,0.5,0.12,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׂמח,qal,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁחת,piel,0.12,0.75,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁבר,qal,0.25,0.62,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בזה,qal,0.25,0.62,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כרה,qal,0.43,0.29,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
דרך,qal,0.29,0.43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פרר,hif,0.43,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
פרח,qal,0.0,0.71,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כון,piel,0.43,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אסף,qal,0.14,0.57,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מלך,hif,0.14,0.71,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁבה,qal,0.57,0.29,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יסד,qal,0.71,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נבא,nif,0.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חפר,qal,0.43,0.0,0.14,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אחז,qal,0.29,0.29,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מכר,qal,0.43,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
שׂבע,qal,0.43,0.29,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ידע,nif,0.57,0.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עוד,hif,0.43,0.0,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
תעה,qal,0.29,0.29,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עזר,qal,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נסה,piel,0.71,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גבה,qal,0.57,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
צעק,qal,0.71,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
גבר,qal,0.71,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קבר,qal,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
רחק,qal,0.29,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
צפה,piel,0.86,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נדד,qal,0.0,0.43,0.29,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁמם,nif,0.29,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נפל,hif,0.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קוה,piel,0.43,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
כבד,hif,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
למד,piel,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ישׁב,hif,0.17,0.33,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
לכד,nif,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
תמם,qal,0.0,0.17,0.67,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קדם,piel,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
