eng_TAMsimp,p3,p2,p1
FUT ~ PRES PERF,-0.22,0.08,0.14
IMPV ~ MOD lest,-0.16,-0.05,0.21
MOD shall ~ MOD would,-0.16,-0.25,0.41
MOD may ~ MOD must,0.24,-0.25,0.01
MOD can,0.24,-0.25,0.01
MOD would ~ PRES,0.04,-0.05,0.01
IMPV ~ PAST,-0.56,0.75,-0.19
MOD should ~ PRES,0.44,-0.25,-0.19
HAB used to ~ PAST,0.44,-0.25,-0.19
IMPV ~ MOD may,-0.06,0.25,-0.19
IMPV ~ MOD must,-0.56,0.75,-0.19
PAST PERF,0.19,-0.25,0.06
MOD shall ~ MOD should,-0.31,-0.0,0.31
FUT ~ MOD can,0.19,-0.0,-0.19
MOD let ~ TO INF,0.19,-0.25,0.06
FUT ~ FUT PERF,-0.56,-0.0,0.56
MOD should,0.19,-0.0,-0.19
MOD could ~ MOD may,0.44,-0.25,-0.19
PAST ~ PAST PERF,0.44,-0.25,-0.19
MOD can ~ PRES,0.44,-0.25,-0.19
MOD should ~ TO INF,0.11,0.08,-0.19
IMPV ~ MOD would,0.44,-0.25,-0.19
MOD VB ~ PRES,0.44,-0.25,-0.19
MOD is to ~ TO INF,0.44,-0.25,-0.19
HAB used to ~ MOD would,0.44,-0.25,-0.19
HAB used to,0.44,-0.25,-0.19
MOD was to,0.44,-0.25,-0.19
FUT ~ FUT going-to,-0.56,-0.25,0.81
IMPV ~ MOD is to,-0.56,0.75,-0.19
MOD that be ~ TO INF,0.44,-0.25,-0.19
MOD was to ~ PAST,0.44,-0.25,-0.19
PRES ~ PRES PROG,-0.56,0.75,-0.19
FUT ~ MOD must,0.44,-0.25,-0.19
IMPV ~ PRES PART,-0.56,0.75,-0.19
MOD would ~ PRES PART,0.44,-0.25,-0.19
FUT going-to ~ MOD shall,-0.56,0.75,-0.19
PRES PART ~ PRES PERF,0.44,-0.25,-0.19
MOD may ~ PRES PART,-0.06,0.25,-0.19
MOD can ~ MOD let,0.44,-0.25,-0.19
MOD lest ~ MOD might,0.44,-0.25,-0.19
MOD may ~ MOD should,0.44,-0.25,-0.19
MOD let ~ PRES,-0.06,-0.25,0.31
MOD must ~ PRES,0.44,-0.25,-0.19
MOD let ~ MOD must,-0.06,0.25,-0.19
MOD lest ~ PRES PART,-0.56,0.75,-0.19
MOD lest ~ MOD must,0.44,-0.25,-0.19
MOD must ~ PRES PART,-0.06,0.25,-0.19
MOD is to ~ MOD may,-0.56,0.75,-0.19
MOD let ~ PRES PART,-0.56,-0.25,0.81
MOD should ~ MOD would,0.44,-0.25,-0.19
MOD let ~ MOD should,-0.56,-0.25,0.81
MOD let ~ MOD would,-0.56,0.75,-0.19
MOD can ~ TO INF,0.44,-0.25,-0.19
MOD would ~ PRES PROG,-0.56,0.75,-0.19
FUT ~ MOD is to,0.44,-0.25,-0.19
FUT ~ MOD VB,0.44,-0.25,-0.19
MOD ~ MOD would,0.44,-0.25,-0.19
MOD would ~ TO INF,0.44,-0.25,-0.19
MOD must,0.44,-0.25,-0.19
FUT ~ FUT PROG,-0.56,0.75,-0.19
MOD might ~ MOD would,-0.56,-0.25,0.81
PAST PROG ~ TO INF,0.44,-0.25,-0.19
FUT PROG,0.44,-0.25,-0.19
FUT ~ MOD should,-0.56,-0.25,0.81
FUT ~ MOD that be,0.44,-0.25,-0.19
PAST PERF ~ PRES PART,0.44,-0.25,-0.19
MOD could,-0.56,-0.25,0.81
PRES PERF ~ TO INF,-0.56,0.75,-0.19
MOD let ~ MOD might,0.44,-0.25,-0.19
MOD might,0.44,-0.25,-0.19
MOD quest must ~ MOD shall,-0.56,-0.25,0.81
PRES ~ VB,0.44,-0.25,-0.19
MOD could ~ MOD would,0.44,-0.25,-0.19
MOD lest ~ PRES,0.44,-0.25,-0.19
HAB used to ~ PAST PROG,0.44,-0.25,-0.19
HAB used to ~ PRES PART,0.44,-0.25,-0.19
MOD could ~ TO INF,0.44,-0.25,-0.19
IMPV ~ MOD VB,-0.56,0.75,-0.19
MOD is to ~ MOD lest,0.44,-0.25,-0.19
MOD is to ~ PRES PART,0.44,-0.25,-0.19
MOD VB ~ MOD can,0.44,-0.25,-0.19
