eng_TAMsimp,p3,p1,p2
?PAST wh-question ~ ?PRES,-0.93,-0.05,0.98
?PAST question,0.07,-0.05,-0.02
?PAST do-support ~ PAST,0.07,-0.05,-0.02
?PAST wh-question ~ MOD let,-0.93,-0.05,0.98
?PAST did not ~ TO INF,0.07,-0.05,-0.02
?PAST wh-question ~ PAST,0.07,-0.05,-0.02
?PAST wh-question ~ TO INF,0.07,-0.05,-0.02
?PAST ~ ?TO INF,0.07,-0.05,-0.02
?MOD would ~ PAST,0.07,-0.05,-0.02
?PAST did not ~ ?PAST question,-0.93,-0.05,0.98
?PAST PERF ~ PAST PERF,-0.93,-0.05,0.98
?MOD would,0.07,-0.05,-0.02
?MOD let ~ PAST,0.07,-0.05,-0.02
?FUT ~ PRES PART,0.07,-0.05,-0.02
?FUT ~ PRES,0.07,-0.05,-0.02
?FUT ~ ?PRES,0.07,-0.05,-0.02
??VB ~ PRES PERF,-0.93,-0.05,0.98
??VB ~ PRES,-0.93,-0.05,0.98
??VB ~ PAST,-0.93,-0.05,0.98
??PRES ~ PAST,0.07,-0.05,-0.02
??PAST ~ PAST,0.07,-0.05,-0.02
??PAST ~ ?TO INF,0.07,-0.05,-0.02
??PAST ~ ?PAST,0.07,-0.05,-0.02
PRES PERF PROG,-0.93,0.95,-0.02
MOD let ~ PRES PART,0.07,-0.05,-0.02
PRES PART ~ TO INF,0.07,-0.05,-0.02
?PAST ~ PAST PERF,0.07,-0.05,-0.02
MOD may,0.07,-0.05,-0.02
MOD let ~ MOD may,0.07,-0.05,-0.02
MOD is to ~ PRES PERF,0.07,-0.05,-0.02
MOD may ~ PRES,0.07,-0.05,-0.02
MOD could ~ MOD might,-0.93,0.95,-0.02
IMPV ~ PRES PART,0.07,-0.05,-0.02
IMPV ~ PRES,-0.93,-0.05,0.98
MOD might ~ PRES PERF,0.07,-0.05,-0.02
MOD must ~ PAST,0.07,-0.05,-0.02
MOD must ~ PRES,0.07,-0.05,-0.02
MOD should ~ MOD would,0.07,-0.05,-0.02
FUT ~ MOD would,-0.93,-0.05,0.98
MOD should ~ PRES,-0.93,-0.05,0.98
MOD should ~ TO INF,0.07,-0.05,-0.02
MOD would ~ PRES,0.07,-0.05,-0.02
?TO INF ~ PRES,0.07,-0.05,-0.02
?TO INF,-0.93,-0.05,0.98
?PRES ~ TO INF,0.07,-0.05,-0.02
PAST PERF ~ TO INF,0.07,-0.05,-0.02
PAST PROG ~ PRES PART,0.07,-0.05,-0.02
?PRES ~ FUT,-0.93,0.95,-0.02
?PRES ~ ?VB,0.07,-0.05,-0.02
?PRES PERF ~ PAST,0.07,-0.05,-0.02
MOD let ~ PRES,0.07,-0.05,-0.02
?PAST ~ PRES PERF,0.07,-0.05,-0.02
PAST PROG ~ PRES PERF PROG,-0.93,0.95,-0.02
PAST ~ PAST PERF PROG,0.07,-0.05,-0.02
PAST PROG ~ PRES PERF,0.07,-0.05,-0.02
