genre,prophetic,poetry,prose,instruction,prose,prose,prophetic,instruction,prophetic,poetry,poetry,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,list,prophetic,list,prophetic,prose,list,list,prophetic,prose,list,prose,instruction,prophetic,instruction
MOD shall ~ PRES,-0.01,-0.06,-0.03,0.17,0.01,0.02,-0.02,0.01,-0.01,-0.04,-0.01,-0.02,-0.02,-0.01,-0.01,0.02,-0.01,-0.01,0.02,-0.0,-0.0,0.0,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.04,0.06,0.0,-0.09,-0.01,-0.02,-0.01,-0.05,-0.02,0.03,0.1,-0.02,0.07,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,0.01,0.09,-0.06,-0.08,-0.07,-0.05,0.03,-0.05,-0.01,0.1,0.02,0.0,0.02,-0.0,0.01,0.01,0.01,-0.01,-0.0,-0.0,0.01,0.01,0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,-0.05,0.01,0.1,0.07,-0.01,0.01,-0.04,-0.05,0.05,-0.03,-0.01,-0.02,-0.02,-0.0,-0.0,0.01,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,0.05,0.15,-0.02,0.01,0.01,-0.06,-0.04,-0.04,-0.02,-0.0,-0.03,0.02,-0.02,-0.01,0.0,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.06,0.06,-0.02,0.04,0.05,-0.03,-0.02,-0.01,0.01,0.06,-0.01,-0.02,-0.02,0.0,-0.01,0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.09,-0.07,0.13,-0.09,-0.01,0.22,-0.0,-0.05,-0.03,-0.03,0.03,-0.02,0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
MOD can ~ PRES,-0.03,0.14,0.03,-0.09,-0.01,-0.0,-0.04,-0.03,0.03,0.04,0.01,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD lest,-0.09,-0.02,0.14,0.06,0.09,-0.03,0.0,-0.01,-0.05,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,0.11,0.09,-0.0,-0.07,0.0,0.04,-0.04,-0.05,-0.01,0.0,-0.03,0.01,-0.02,0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.01,-0.05,0.05,-0.02,-0.03,-0.01,-0.02,-0.01,-0.05,0.1,0.09,-0.02,-0.02,-0.01,-0.01,0.01,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD shall,-0.12,-0.01,0.04,0.18,0.02,-0.04,-0.05,0.07,-0.01,-0.01,-0.04,0.01,-0.02,-0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,0.07,0.06,0.03,-0.04,0.01,-0.06,-0.05,-0.05,0.06,0.02,-0.0,-0.02,0.0,0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,0.04,-0.03,-0.11,-0.06,0.05,-0.04,-0.05,-0.03,0.06,0.32,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.03,0.01,-0.03,-0.04,0.07,0.01,-0.03,-0.05,0.1,0.06,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.0,0.06,0.02,0.0,-0.01,-0.04,-0.05,-0.03,-0.02,0.02,-0.04,0.04,-0.02,-0.01,0.01,0.03,-0.01,0.02,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,-0.04,-0.07,-0.04,-0.04,0.06,0.13,0.08,-0.05,-0.05,-0.04,0.12,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.08,-0.0,0.05,-0.04,0.11,0.03,-0.05,-0.05,0.07,0.05,0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.05,0.08,-0.06,0.18,0.02,-0.03,-0.05,0.0,-0.02,0.0,-0.04,0.03,-0.02,0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,0.0,-0.04,-0.01,-0.09,-0.0,0.09,-0.05,-0.05,0.03,0.11,0.11,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.07,-0.05,-0.01,0.05,-0.08,0.02,-0.05,-0.05,-0.05,-0.04,0.06,-0.02,0.25,0.02,-0.01,-0.01,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ TO INF,0.01,-0.13,0.11,-0.06,0.14,0.08,-0.03,0.06,0.01,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,-0.09,-0.13,0.0,0.08,0.09,0.08,0.0,-0.05,0.09,-0.02,0.01,-0.02,-0.02,-0.01,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,0.05,0.1,0.03,0.0,-0.05,0.0,-0.03,-0.02,-0.05,0.01,0.01,0.0,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,-0.09,-0.01,0.12,-0.03,0.04,0.09,-0.05,0.01,-0.02,-0.01,-0.04,0.01,-0.02,-0.01,0.02,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.08,0.05,-0.05,-0.02,-0.08,-0.06,0.04,-0.05,-0.02,0.26,0.11,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD should,0.02,-0.13,0.02,-0.05,-0.08,0.3,0.11,-0.05,0.02,-0.04,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.14,-0.13,-0.11,-0.02,-0.08,-0.06,-0.02,-0.05,-0.05,-0.04,0.03,-0.02,0.54,0.16,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,0.01,0.03,0.07,-0.08,-0.0,0.13,-0.02,-0.05,-0.05,0.03,-0.01,0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.18,0.01,-0.02,-0.08,0.05,-0.06,-0.05,-0.05,-0.0,0.26,0.13,-0.02,-0.02,-0.01,-0.01,-0.01,0.03,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ IMPV,-0.13,-0.11,-0.06,-0.08,0.21,-0.06,-0.01,-0.05,0.1,0.29,-0.04,-0.02,-0.02,-0.01,-0.01,0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.13,0.13,-0.11,-0.04,-0.08,-0.01,-0.05,-0.05,0.0,-0.04,0.0,-0.02,0.17,0.18,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,0.23,-0.16,-0.01,0.27,-0.08,-0.06,-0.05,0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.12,-0.05,0.0,-0.08,0.04,0.11,0.0,-0.05,-0.05,0.12,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.06,-0.05,-0.11,-0.03,0.15,-0.0,-0.05,0.12,-0.05,0.01,0.12,-0.02,-0.02,-0.01,-0.01,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.05,-0.1,0.14,-0.02,0.11,-0.06,-0.05,-0.05,-0.05,0.02,-0.04,-0.02,-0.02,-0.01,-0.01,0.12,-0.01,0.06,-0.0,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD may,-0.11,-0.16,0.01,0.29,-0.08,0.01,-0.05,-0.05,-0.05,0.08,0.08,-0.02,-0.02,0.05,-0.01,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,0.09,0.04,-0.04,-0.08,-0.01,0.01,0.01,-0.05,-0.05,0.02,-0.04,0.11,-0.02,-0.01,-0.01,-0.01,0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.16,-0.09,-0.04,-0.08,-0.01,0.01,0.01,-0.05,0.02,0.02,-0.04,-0.02,-0.02,0.06,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,0.03,-0.09,0.16,-0.08,-0.01,-0.06,0.21,-0.05,-0.05,0.02,-0.04,-0.02,-0.02,0.06,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,0.25,-0.16,0.18,-0.01,-0.0,-0.06,0.02,0.02,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,-0.1,0.05,0.1,-0.08,-0.08,0.09,0.16,-0.05,-0.05,-0.04,0.1,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES,-0.1,-0.09,0.03,-0.01,0.42,0.01,-0.05,-0.05,-0.05,0.03,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,-0.1,0.27,0.03,-0.08,-0.08,0.01,-0.05,-0.05,-0.05,0.03,-0.04,-0.02,-0.02,0.06,-0.01,0.06,-0.01,-0.01,-0.0,-0.0,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,-0.17,-0.16,-0.11,-0.08,0.39,-0.06,-0.05,0.11,0.03,0.26,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD shall,0.13,-0.16,0.12,0.07,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,0.3,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD should,-0.01,0.17,-0.11,-0.0,0.09,-0.06,-0.05,-0.05,0.12,-0.04,-0.04,0.06,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.01,-0.16,0.14,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.04,-0.02,0.48,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ TO INF,-0.01,-0.16,0.22,-0.08,0.09,0.11,-0.05,0.04,-0.05,0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,-0.17,-0.16,-0.11,-0.0,0.67,-0.06,-0.05,-0.05,0.12,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,0.1,-0.16,0.25,0.01,-0.08,-0.06,-0.05,0.23,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD can,-0.17,0.66,-0.11,-0.08,0.11,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might,-0.17,0.11,0.25,-0.08,-0.08,-0.06,0.04,-0.05,-0.05,-0.04,0.23,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,-0.17,-0.07,-0.11,0.01,-0.08,-0.06,0.04,-0.05,-0.05,0.05,0.05,-0.02,0.26,0.08,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD must,-0.17,-0.16,0.09,0.12,0.22,-0.06,-0.05,0.15,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,0.09,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.17,0.04,-0.11,-0.08,-0.08,0.04,-0.05,-0.05,-0.05,-0.04,0.16,-0.02,0.28,-0.01,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to,-0.07,-0.16,0.29,0.12,0.02,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,0.18,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST,0.05,-0.05,0.0,0.14,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.09,-0.01,-0.01,0.1,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD should,-0.05,-0.03,0.26,-0.08,0.05,-0.06,0.07,-0.05,0.08,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD could,-0.05,0.09,0.14,-0.08,-0.08,0.07,-0.05,-0.05,-0.05,0.08,0.08,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest,-0.17,0.55,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,0.1,0.1,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
