genre,poetry,prophetic,prose,prose,instruction,prose,prophetic,prophetic,poetry,poetry,instruction,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,prophetic,list,prophetic,list,prose,list,prophetic,list,prose,prose,list,instruction,prose,instruction,prophetic
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,D,Q,?,?,N,N,D,N,Q,N,D,D,?
person,p3,p3,p3,p2,p3,p1,p1,p2,p2,p1,p2,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p3,p3,p1,p2,p1,p3,p2,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES ~ PRES PART,0.31,0.23,0.09,0.08,0.09,0.0,0.01,0.02,0.04,0.01,0.01,0.04,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.22,0.11,0.09,0.12,0.12,0.02,0.03,0.06,0.1,0.03,0.03,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,0.11,0.08,0.24,0.06,0.0,0.27,0.06,0.01,0.01,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
FUT ~ MOD lest,0.14,0.08,0.26,0.17,0.14,0.03,0.06,0.0,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.3,0.14,0.14,0.07,0.0,0.06,0.01,0.07,0.08,0.06,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.15,0.15,0.2,0.11,0.06,0.1,0.01,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.25,0.28,0.11,0.08,0.02,0.09,0.02,0.03,0.05,0.02,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.21,0.15,0.27,0.05,0.06,0.03,0.0,0.02,0.05,0.0,0.02,0.05,0.0,0.0,0.02,0.03,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.11,0.16,0.16,0.05,0.07,0.05,0.03,0.0,0.15,0.13,0.03,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.19,0.05,0.17,0.09,0.24,0.02,0.0,0.03,0.03,0.0,0.1,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
