prec_part,sum
_JWM/_,1
_JRD[_,1
_JD<[_,1
_J<N/_B_,1
_J<N/_>T_,1
_<WH[_,1
_KJ_GM_W_GM_,1
_HN_Z>T_,1
_HN_L_,1
_HN_<L_,1
_HNH_L_W_L_,1
_HNH_L_,1
_HNH_B_<L_,1
_HNH_B_,1
_>CM[_,1
_HJH[_,1
_KJ_<TH_GM_>T_,1
_KJ_<TH_RJQM_,1
_KJ_<YR[_,1
_KJ_>M_>T_ZH_,1
_KJ_GM_GM_,1
_KJ_GM_>L_,1
_KJ_FN>[_,1
_KJ_FKR[_,1
_KJ_CB<[_,1
_KJ_B_ZH_,1
_KJ_B_PT>M_,1
_KJ_B_>LH_,1
_<TH_ZH_,1
_KJ_BGD[_,1
_KJ_>Z_MN_,1
_KJ_>Z_,1
_KJ_>T_ZH_,1
_KJ_>T_>LH_,1
_KJ_>T_>L===_,1
_KJ_>T==_,1
_KJ_>M_M>S[_,1
_KJ_>M_L_,1
_KJ_>M_B_L_,1
_KJ_KSP[_,1
