clause_rela,cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,_W_OV,0.17,-0.05,-0.07,-0.06,0.0,0.0,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVC,-0.06,0.05,0.06,-0.05,-0.01,0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_V,0.05,-0.06,0.08,-0.08,0.01,-0.01,0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
Main,AV,-0.0,-0.05,0.12,-0.08,0.01,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVO,0.04,-0.0,0.01,-0.05,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VS,-0.1,0.0,0.12,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VO,-0.23,0.27,-0.02,-0.02,0.0,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVA,0.01,-0.03,-0.1,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VSC,-0.11,0.14,0.04,-0.08,0.0,-0.01,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VC,0.01,0.11,-0.07,-0.05,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_OVC,0.35,-0.1,-0.18,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVOC,0.2,-0.02,-0.2,0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VA,-0.23,0.11,0.19,-0.07,0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_V,-0.0,-0.14,-0.08,-0.08,-0.01,0.16,0.13,0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVSC,0.01,-0.2,0.29,-0.08,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,CV,0.05,-0.07,0.08,-0.08,-0.01,-0.01,-0.01,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,OVC,-0.1,0.27,-0.08,-0.08,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_AVS,-0.33,-0.23,0.63,-0.06,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVA,0.33,-0.2,-0.11,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVCA,0.19,-0.07,-0.18,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_AVC,0.47,-0.19,-0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VSO,-0.28,0.29,0.04,-0.04,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVA,0.11,-0.05,0.02,-0.06,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VOC,-0.05,0.2,-0.06,-0.08,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VS,0.2,-0.23,-0.14,-0.06,-0.01,0.13,0.09,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VS,0.15,-0.11,-0.22,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_V,0.07,0.07,-0.15,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VCO,0.02,0.18,-0.13,-0.06,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VC,0.29,-0.08,-0.2,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_SV,-0.23,0.31,-0.06,-0.04,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_CV,0.32,-0.13,-0.12,-0.06,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_AVS,0.52,-0.22,-0.19,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_OVA,0.45,-0.2,-0.22,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VO,0.06,0.14,-0.22,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVOS,0.06,0.05,-0.22,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVC,0.16,0.04,-0.14,-0.06,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_VS,0.04,-0.17,-0.11,0.26,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,CVO,0.04,0.1,-0.08,-0.08,0.02,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VSC,-0.25,0.2,-0.06,0.13,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VSO,0.36,-0.14,-0.22,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VSA,0.02,-0.06,0.15,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VA,-0.02,-0.06,0.16,-0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVCS,-0.08,0.08,-0.19,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VOA,-0.1,0.17,0.01,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVSA,0.04,-0.07,-0.22,0.27,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_SVO,-0.34,0.23,0.17,-0.05,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVOC,0.09,-0.09,-0.19,0.16,0.02,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_CVO,0.21,-0.0,-0.12,-0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVOC,0.21,-0.0,-0.19,-0.05,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_AV,0.23,-0.03,-0.12,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_AVO,0.23,0.07,-0.22,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVCA,0.44,-0.15,-0.18,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VC,-0.14,0.21,-0.18,-0.08,-0.01,0.22,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,OVS,0.1,-0.08,0.05,-0.08,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VOS,0.1,-0.05,0.02,-0.08,-0.01,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_OVS,0.4,-0.18,-0.15,-0.08,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,CVS,0.1,-0.15,0.15,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,RV,-0.19,0.2,-0.08,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVSO,0.11,-0.07,-0.14,0.13,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_OV,-0.28,0.46,-0.14,-0.04,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VCS,-0.17,0.01,0.23,-0.08,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,QVC,-0.43,0.09,-0.1,0.48,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VSC,0.27,-0.1,-0.18,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,OVA,-0.05,0.1,0.05,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_SVC,-0.08,0.06,-0.02,0.07,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_CVS,0.4,-0.25,-0.09,-0.08,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVOA,0.07,-0.08,-0.13,0.17,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VO,-0.17,0.15,-0.09,-0.04,-0.01,-0.01,0.17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VSO,0.05,0.02,-0.13,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VCA,0.0,-0.2,0.26,-0.08,0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVOA,-0.07,0.16,-0.03,-0.08,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVSA,0.25,-0.16,0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_CV,-0.24,0.04,0.31,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VAO,-0.14,0.04,0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,QV,-0.24,0.18,-0.17,0.2,0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,QVO,-0.38,0.56,-0.17,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVSO,0.42,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VOC,-0.27,0.49,-0.16,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,V,-0.17,0.02,0.05,0.02,-0.01,-0.01,0.05,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVOC,-0.17,0.23,-0.11,-0.08,0.15,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>M_V,-0.26,0.14,0.17,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVOA,0.13,0.03,-0.22,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_AV,-0.32,-0.02,0.29,0.03,-0.01,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVA,0.13,-0.19,0.12,-0.08,-0.01,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,VO,-0.04,-0.14,0.17,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_OVO,0.28,-0.13,-0.04,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_VC,-0.08,-0.13,-0.16,0.39,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVCA,0.22,-0.07,-0.1,-0.08,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,RVC,-0.12,0.25,-0.15,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_AVC,0.07,0.19,-0.22,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_VSC,-0.24,-0.12,-0.22,0.48,-0.01,-0.01,-0.01,-0.0,-0.0,0.12,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VOS,-0.18,0.25,-0.15,0.11,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SCV,-0.18,-0.25,0.54,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SVCO,-0.16,0.49,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_AVSC,0.5,-0.18,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVOS,-0.03,-0.11,0.25,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VOO,-0.16,0.22,-0.02,-0.08,0.06,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,RVSC,-0.1,0.02,-0.22,0.32,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,VC,0.1,0.15,-0.15,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_OVCA,0.44,-0.18,-0.22,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_AVO,-0.0,-0.03,-0.22,0.06,-0.01,0.14,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,RVS,-0.14,0.04,0.07,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVSCA,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVCO,0.21,-0.03,-0.14,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVAC,0.26,-0.25,-0.14,0.07,-0.01,-0.01,-0.01,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,ASV,0.03,-0.09,0.09,-0.08,-0.01,-0.01,-0.01,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,VO,-0.2,-0.02,0.32,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VSCA,0.19,0.06,-0.22,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVCC,0.15,-0.08,-0.22,0.17,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_OVC,-0.43,0.17,0.03,0.17,0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VOA,-0.26,0.09,-0.05,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VSC,0.4,-0.16,-0.13,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVOA,-0.18,0.25,-0.05,-0.08,0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_W_VC,-0.26,0.0,-0.05,0.25,-0.01,-0.01,-0.01,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVCS,0.07,0.09,-0.22,-0.08,-0.01,0.16,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VCS,-0.18,-0.08,0.28,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VCO,-0.43,0.67,-0.13,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_V,0.15,-0.25,-0.05,0.09,-0.01,-0.01,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_SVO,-0.43,0.48,-0.12,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VAS,-0.34,-0.06,0.51,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VA,0.21,-0.06,-0.12,-0.08,-0.01,-0.01,-0.01,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVOO,0.48,-0.16,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,AVCO,0.39,-0.16,-0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,ISVC,-0.25,0.03,0.15,-0.08,-0.01,-0.01,0.09,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVSCA,0.02,0.03,-0.22,0.19,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_AVSC,-0.34,-0.16,0.6,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_VSO,-0.43,-0.16,-0.12,0.74,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,OCV,-0.34,0.03,0.24,-0.08,0.17,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,OVO,0.48,-0.16,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,QVS,-0.34,0.12,0.24,-0.08,-0.01,-0.01,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VOS,0.12,-0.16,-0.22,0.28,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,QVOC,-0.43,0.35,-0.12,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VSA,-0.03,-0.05,-0.22,0.02,-0.01,-0.01,0.29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_VSA,0.07,-0.25,-0.02,0.12,-0.01,-0.01,-0.01,-0.0,0.1,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>CR_VSA,-0.03,-0.25,-0.12,0.42,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_SVOC,-0.23,0.45,-0.22,-0.08,-0.01,-0.01,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,IV,-0.33,0.15,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_OVSC,0.37,-0.05,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SOV,-0.13,-0.05,0.08,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.2,-0.0
SubAdv,_W_OV,0.17,0.05,-0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,RVO,-0.13,0.05,-0.12,0.12,-0.01,-0.01,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_W_SVO,-0.32,-0.13,0.45,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>M_VO,-0.32,0.09,0.23,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,VS,-0.1,-0.02,0.12,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVAC,0.35,-0.25,-0.1,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VCS,0.13,-0.13,0.01,-0.08,0.1,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_SVCC,0.46,-0.13,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,SCV,-0.1,-0.02,0.23,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_AVA,0.24,-0.13,0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VSCO,-0.21,0.53,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_VA,-0.1,-0.25,-0.1,0.14,-0.01,-0.01,0.22,0.11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_CVO,-0.32,0.53,-0.1,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_SVA,-0.1,-0.25,0.23,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,ISV,-0.21,0.2,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,VAC,-0.1,0.09,-0.1,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.11,-0.0,-0.0,-0.0
SubAdv,_>CR_VCS,0.24,-0.13,-0.22,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,RVCO,-0.21,0.09,-0.1,0.14,-0.01,-0.01,-0.01,-0.0,0.11,-0.0,-0.0,-0.0,-0.0,-0.0
Main,CVSA,0.45,-0.12,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,IVC,-0.06,0.13,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
Main,IVO,-0.06,0.0,0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
