bhsa_node,mother_cl,mother_cl_atom,mother_clause,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,daught_cl,daught_cl_atom,daught_clause,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex
764,427694.0,515823.0,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,Main,D,yqtl,WXYq,p3,YMX[,427696.0,515825.0,וְאָדָ֣ם אַ֔יִן ,Main,D,Ø,NmCl,,
831,427704.0,515833.0,וַיָּ֣שֶׂם שָׁ֔ם אֶת־הָֽאָדָ֖ם ,Main,N,wayq,Way0,p3,FJM[,,,,,,,,,
1074,427745.0,515875.0,וַיָּבֵא֙ אֶל־הָ֣אָדָ֔ם ,Main,N,wayq,Way0,p3,BW>[,,,,,,,,,
1105,427757.0,515887.0,וַיִּבֶן֩ יְהוָ֨ה אֱלֹהִ֧ים׀ אֶֽת־הַצֵּלָ֛ע ,Main,N,wayq,WayX,p3,BNH[,,,,,,,,,
1137,427762.0,515893.0,לְזֹאת֙ יִקָּרֵ֣א אִשָּׁ֔ה ,Main,Q,yqtl,xYq0,p3,QR>[,,,,,,,,,
1171,,,,,,,,,,427770.0,515901.0,אֲשֶׁ֥ר עָשָׂ֖ה יְהוָ֣ה אֱלֹהִ֑ים ,SubMod,N,qtl,xQtX,p3,<FH[
1179,427769.0,515900.0,וְהַנָּחָשׁ֙ הָיָ֣ה עָר֔וּם מִכֹּל֙ חַיַּ֣ת הַשָּׂדֶ֔ה ,Main,N,qtl,WXQt,p3,HJH[,,,,,,,,,
1189,427771.0,515902.0,וַיֹּ֨אמֶר֙ אֶל־הָ֣אִשָּׁ֔ה ,Main,N,wayq,Way0,p3,>MR[,427773.0,515904.0,לֹ֣א תֹֽאכְל֔וּ מִכֹּ֖ל עֵ֥ץ הַגָּֽן׃ ,Main,Q,yqtl,xYq0,p2,>KL[
1221,427776.0,515907.0,וּמִפְּרִ֣י הָעֵץ֮ ,Main,Q,Ø,CPen,,,,,,,,,,,
1359,427810.0,515941.0,וַיֹּ֕אמֶר ,Main,N,wayq,Way0,p3,>MR[,427812.0,515943.0,וָאִירָ֛א ,Main,Q,wayq,Way0,p1,JR>[
1373,427815.0,515946.0,וַיֹּ֕אמֶר ,Main,N,wayq,Way0,p3,>MR[,427817.0,515948.0,כִּ֥י עֵירֹ֖ם אָ֑תָּה ,SubArg,Q,Ø,AjCl,,
1383,427818.0,515949.0,הֲמִן־הָעֵ֗ץ ,Main,Q,Ø,Defc,,,427820.0,515951.0,לְבִלְתִּ֥י אֲכָל־מִמֶּ֖נּוּ ,SubAdv,Q,infc,InfC,unknown,>KL[
1388,427818.0,515949.0,הֲמִן־הָעֵ֗ץ ,Main,Q,Ø,Defc,,,,,,,,,,,
1396,427822.0,515954.0,הָֽאִשָּׁה֙ ,Main,Q,Ø,CPen,,,,,,,,,,,
1399,427822.0,515954.0,הָֽאִשָּׁה֙ ,Main,Q,Ø,CPen,,,427825.0,515957.0,וָאֹכֵֽל׃ ,Main,Q,wayq,Way0,p1,>KL[
1415,427826.0,515958.0,וַיֹּ֨אמֶר יְהוָ֧ה אֱלֹהִ֛ים לָאִשָּׁ֖ה ,Main,N,wayq,WayX,p3,>MR[,,,,,,,,,
1422,427828.0,515960.0,וַתֹּ֨אמֶר֙ הָֽאִשָּׁ֔ה ,Main,N,wayq,WayX,p3,>MR[,427830.0,515962.0,וָאֹכֵֽל׃ ,Main,Q,wayq,Way0,p1,>KL[
1433,427831.0,515963.0,וַיֹּאמֶר֩ יְהֹוָ֨ה אֱלֹהִ֥ים׀ אֶֽל־הַנָּחָשׁ֮ ,Main,N,wayq,WayX,p3,>MR[,427833.0,515965.0,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,Main,Q,ptcp,Ptcp,unknown,>RR[
1480,427831.0,515963.0,וַיֹּאמֶר֩ יְהֹוָ֨ה אֱלֹהִ֥ים׀ אֶֽל־הַנָּחָשׁ֮ ,Main,N,wayq,WayX,p3,>MR[,427840.0,515972.0,הַרְבָּ֤ה אַרְבֶּה֙ עִצְּבֹונֵ֣ךְ וְהֵֽרֹנֵ֔ךְ ,Main,Q,yqtl,xYq0,p1,RBH[
1501,427839.0,515971.0,אֶֽל־הָאִשָּׁ֣ה אָמַ֗ר ,Main,N,qtl,xQt0,p3,>MR[,427845.0,515977.0,כִּ֥י־שָׁמַעְתָּ֮ לְקֹ֣ול אִשְׁתֶּךָ֒ ,Main,Q,qtl,xQt0,p2,CM<[
1503,427844.0,515976.0,וּלְאָדָ֣ם אָמַ֗ר ,Main,N,qtl,WxQ0,p3,>MR[,427846.0,515978.0,וַתֹּ֨אכַל֙ מִן־הָעֵ֔ץ ,Main,Q,wayq,Way0,p2,>KL[
1513,427846.0,515978.0,וַתֹּ֨אכַל֙ מִן־הָעֵ֔ץ ,Main,Q,wayq,Way0,p2,>KL[,427848.0,515980.0,לֵאמֹ֔ר ,SubAdv,Q,infc,InfC,unknown,>MR[
1554,427854.0,515986.0,בְּזֵעַ֤ת אַפֶּ֨יךָ֙ תֹּ֣אכַל לֶ֔חֶם ,Main,Q,yqtl,xYq0,p2,>KL[,427857.0,515989.0,כִּֽי־עָפָ֣ר אַ֔תָּה ,SubAdv,Q,Ø,NmCl,,
1571,427859.0,515991.0,וַיִּקְרָ֧א הָֽאָדָ֛ם שֵׁ֥ם אִשְׁתֹּ֖ו חַוָּ֑ה ,Main,N,wayq,WayX,p3,QR>[,,,,,,,,,
1595,427863.0,515995.0,וַיֹּ֣אמֶר׀ יְהוָ֣ה אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,427865.0,515997.0,לָדַ֖עַת טֹ֣וב וָרָ֑ע ,SubAdv,Q,infc,InfC,unknown,JD<[
1635,427872.0,516004.0,לַֽעֲבֹד֙ אֶת־הָ֣אֲדָמָ֔ה ,SubAdv,N,infc,InfC,unknown,<BD[,,,,,,,,,
1670,,,,,,,,,,427879.0,516011.0,וַתַּ֨הַר֙ ,Main,N,wayq,Way0,p3,HRH[
1682,427881.0,516013.0,וַתֹּ֕אמֶר ,Main,N,wayq,Way0,p3,>MR[,,,,,,,,,
1701,427885.0,516017.0,וַֽיְהִי־הֶ֨בֶל֙ רֹ֣עֵה צֹ֔אן ,Main,N,wayq,WayX,p3,HJH[,,,,,,,,,
1721,427888.0,516020.0,וַיָּבֵ֨א קַ֜יִן מִפְּרִ֧י הָֽאֲדָמָ֛ה מִנְחָ֖ה לַֽיהוָֽה׃ ,Main,N,wayq,WayX,p3,BW>[,,,,,,,,,
1745,427890.0,516022.0,וַיִּ֣שַׁע יְהוָ֔ה אֶל־הֶ֖בֶל וְאֶל־מִנְחָתֹֽו׃ ,Main,N,wayq,WayX,p3,C<H[,427892.0,516024.0,וַיִּ֤חַר לְקַ֨יִן֙ מְאֹ֔ד ,Main,N,wayq,Way0,p3,XRH[
1760,427894.0,516026.0,וַיֹּ֥אמֶר יְהוָ֖ה אֶל־קָ֑יִן ,Main,N,wayq,WayX,p3,>MR[,427896.0,516028.0,וְלָ֖מָּה נָפְל֥וּ פָנֶֽיךָ׃ ,Main,Q,qtl,WxQX,p3,NPL[
1764,427895.0,516027.0,לָ֚מָּה חָ֣רָה לָ֔ךְ ,Main,Q,qtl,xQt0,p3,XRH[,,,,,,,,,
1819,427910.0,516043.0,וַיֹּ֨אמֶר֙ ,Main,N,wayq,Way0,p3,>MR[,427912.0,516045.0,הֲשֹׁמֵ֥ר אָחִ֖י אָנֹֽכִי׃ ,Main,Q,ptcp,Ptcp,unknown,CMR[
1827,427913.0,516046.0,וַיֹּ֖אמֶר ,Main,N,wayq,Way0,p3,>MR[,427915.0,516048.0,קֹ֚ול דְּמֵ֣י אָחִ֔יךָ צֹעֲקִ֥ים אֵלַ֖י מִן־הָֽאֲדָמָֽה׃ ,Main,Q,ptcp,Ptcp,unknown,Y<Q[
1844,427917.0,516050.0,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,Main,Q,ptcp,Ptcp,unknown,>RR[,427919.0,516052.0,לָקַ֛חַת אֶת־דְּמֵ֥י אָחִ֖יךָ מִיָּדֶֽךָ׃ ,SubAdv,Q,infc,InfC,unknown,LQX[
1881,427925.0,516058.0,גָּדֹ֥ול עֲוֹנִ֖י ,Main,Q,Ø,AjCl,,,427928.0,516061.0,וּמִפָּנֶ֖יךָ אֶסָּתֵ֑ר ,Main,Q,yqtl,WxY0,p1,STR[
1975,427946.0,516081.0,וַיִּוָּלֵ֤ד לַֽחֲנֹוךְ֙ אֶת־עִירָ֔ד ,Main,N,wayq,WayX,p3,JLD[,427948.0,516083.0,וּמְחִיּיָאֵ֗ל יָלַד֙ אֶת־מְת֣וּשָׁאֵ֔ל ,Main,N,qtl,WXQt,p3,JLD[
1980,427947.0,516082.0,וְעִירָ֕ד יָלַ֖ד אֶת־מְחֽוּיָאֵ֑ל ,Main,N,qtl,WXQt,p3,JLD[,427949.0,516084.0,וּמְתוּשָׁאֵ֖ל יָלַ֥ד אֶת־לָֽמֶךְ׃ ,Main,N,qtl,WXQt,p3,JLD[
1985,427948.0,516083.0,וּמְחִיּיָאֵ֗ל יָלַד֙ אֶת־מְת֣וּשָׁאֵ֔ל ,Main,N,qtl,WXQt,p3,JLD[,427950.0,516085.0,וַיִּֽקַּֽח־לֹ֥ו לֶ֖מֶךְ שְׁתֵּ֣י נָשִׁ֑ים ,Main,N,wayq,WayX,p3,LQX[
2009,427953.0,516088.0,וַתֵּ֥לֶד עָדָ֖ה אֶת־יָבָ֑ל ,Main,N,wayq,WayX,p3,JLD[,427955.0,516090.0,וְשֵׁ֥ם אָחִ֖יו יוּבָ֑ל ,Main,N,Ø,NmCl,,
2020,427955.0,516090.0,וְשֵׁ֥ם אָחִ֖יו יוּבָ֑ל ,Main,N,Ø,NmCl,,,,,,,,,,,
2031,427953.0,516088.0,וַתֵּ֥לֶד עָדָ֖ה אֶת־יָבָ֑ל ,Main,N,wayq,WayX,p3,JLD[,427958.0,516093.0,לֹטֵ֕שׁ כָּל־חֹרֵ֥שׁ נְחֹ֖שֶׁת וּבַרְזֶ֑ל ,SubMod,N,Ø,NmCl,,
2060,427963.0,516098.0,הַאְזֵ֖נָּה אִמְרָתִ֑י ,Main,Q,impv,ZIm0,p2,>ZN[,427965.0,516100.0,וְיֶ֖לֶד לְחַבֻּרָתִֽי׃ ,Main,Q,Ø,Ellp,,
2091,427970.0,516105.0,וַתִּקְרָ֥א אֶת־שְׁמֹ֖ו שֵׁ֑ת ,Main,N,wayq,Way0,p3,QR>[,427972.0,516107.0,כִּ֥י הֲרָגֹ֖ו קָֽיִן׃ ,SubAdv,Q,qtl,xQtX,p3,HRG[
2099,427971.0,516106.0,כִּ֣י שָֽׁת־לִ֤י אֱלֹהִים֙ זֶ֣רַע אַחֵ֔ר תַּ֣חַת הֶ֔בֶל ,SubAdv,Q,qtl,xQtX,p3,CJT[,,,,,,,,,
2106,427970.0,516105.0,וַתִּקְרָ֥א אֶת־שְׁמֹ֖ו שֵׁ֑ת ,Main,N,wayq,Way0,p3,QR>[,427974.0,516109.0,וַיִּקְרָ֥א אֶת־שְׁמֹ֖ו אֱנֹ֑ושׁ ,Main,N,wayq,Way0,p3,QR>[
2114,427973.0,516108.0,וּלְשֵׁ֤ת גַּם־הוּא֙ יֻלַּד־בֵּ֔ן ,Main,N,qtl,WxQX,p3,JLD[,427976.0,516111.0,לִקְרֹ֖א בְּשֵׁ֥ם יְהוָֽה׃ פ ,SubAdv,N,infc,InfC,unknown,QR>[
2132,427978.0,516113.0,בְּיֹ֗ום ,Main,?,Ø,Defc,,,,,,,,,,,
2137,427978.0,516113.0,בְּיֹ֗ום ,Main,?,Ø,Defc,,,427981.0,516117.0,וַיְבָ֣רֶךְ אֹתָ֗ם ,Main,N,wayq,Way0,p3,BRK[
2189,427990.0,516127.0,וַיִּֽהְי֞וּ כָּל־יְמֵ֤י אָדָם֙ ,Main,N,wayq,WayX,p3,HJH[,,,,,,,,,
2463,428035.0,516179.0,וְאֵינֶ֕נּוּ ,Main,N,Ø,NmCl,,,,,,,,,,,
2547,428048.0,516193.0,זֶ֞֠ה יְנַחֲמֵ֤נוּ מִֽמַּעֲשֵׂ֨נוּ֙ וּמֵעִצְּבֹ֣ון יָדֵ֔ינוּ מִן־הָ֣אֲדָמָ֔ה ,Main,Q,yqtl,XYqt,p3,NXM[,,,,,,,,,
2604,428057.0,516203.0,וַֽיְהִי֙ ,Main,N,wayq,Way0,p3,HJH[,428059.0,516205.0,לָרֹ֖ב עַל־פְּנֵ֣י הָֽאֲדָמָ֑ה ,SubAdv,N,infc,InfC,unknown,RBB[
2615,428058.0,516204.0,כִּֽי־הֵחֵ֣ל הָֽאָדָ֔ם ,SubAdv,N,qtl,xQtX,p3,XLL[,,,,,,,,,
2636,428063.0,516209.0,וַיִּקְח֤וּ לָהֶם֙ נָשִׁ֔ים מִכֹּ֖ל ,Main,N,wayq,Way0,p3,LQX[,,,,,,,,,
2662,428065.0,516211.0,וַיֹּ֣אמֶר יְהוָ֗ה ,Main,N,wayq,WayX,p3,>MR[,428070.0,516216.0,וְגַ֣ם אַֽחֲרֵי־כֵ֗ן ,Main,N,Ø,Ellp,,
2721,428079.0,516225.0,וַיִּנָּ֣חֶם יְהוָ֔ה ,Main,N,wayq,WayX,p3,NXM[,,,,,,,,,
2740,428083.0,516229.0,אֶמְחֶ֨ה אֶת־הָאָדָ֤ם ,Main,Q,yqtl,ZYq0,p1,MXH[,,,,,,,,,
2758,428083.0,516229.0,אֶמְחֶ֨ה אֶת־הָאָדָ֤ם ,Main,Q,yqtl,ZYq0,p1,MXH[,428086.0,516233.0,כִּ֥י עֲשִׂיתִֽם׃ ,SubAdv,Q,qtl,xQt0,p1,<FH[
2760,428085.0,516232.0,כִּ֥י נִחַ֖מְתִּי ,SubAdv,Q,qtl,xQt0,p1,NXM[,,,,,,,,,
2763,428082.0,516228.0,וַיֹּ֣אמֶר יְהוָ֗ה ,Main,N,wayq,WayX,p3,>MR[,,,,,,,,,
2775,428088.0,516235.0,אֵ֚לֶּה תֹּולְדֹ֣ת נֹ֔חַ ,Main,N,Ø,NmCl,,,428090.0,516237.0,אֶת־הָֽאֱלֹהִ֖ים הִֽתְהַלֶּךְ־נֹֽחַ׃ ,Main,N,qtl,xQtX,p3,HLK[
2781,428089.0,516236.0,נֹ֗חַ אִ֥ישׁ צַדִּ֛יק תָּמִ֥ים הָיָ֖ה בְּדֹֽרֹתָ֑יו ,Main,N,qtl,XQtl,p3,HJH[,,,,,,,,,
2816,428094.0,516241.0,וַיַּ֧רְא אֱלֹהִ֛ים אֶת־הָאָ֖רֶץ ,Main,N,wayq,WayX,p3,R>H[,428096.0,516243.0,כִּֽי־הִשְׁחִ֧ית כָּל־בָּשָׂ֛ר אֶת־דַּרְכֹּ֖ו עַל־הָאָֽרֶץ׃ ס ,SubAdv,N,qtl,xQtX,p3,CXT[
2818,428095.0,516242.0,וְהִנֵּ֣ה נִשְׁחָ֑תָה ,Main,N,qtl,WxQ0,p3,CXT[,,,,,,,,,
2834,428097.0,516244.0,וַיֹּ֨אמֶר אֱלֹהִ֜ים לְנֹ֗חַ ,Main,N,wayq,WayX,p3,>MR[,428099.0,516246.0,כִּֽי־מָלְאָ֥ה הָאָ֛רֶץ חָמָ֖ס מִפְּנֵיהֶ֑ם ,SubAdv,Q,qtl,xQtX,p3,ML>[
2838,428098.0,516245.0,קֵ֤ץ כָּל־בָּשָׂר֙ בָּ֣א לְפָנַ֔י ,Main,Q,qtl,XQtl,p3,BW>[,,,,,,,,,
3033,428132.0,516281.0,וַיַּ֖עַשׂ נֹ֑חַ כְּ֠כֹל ,Main,N,wayq,WayX,p3,<FH[,,,,,,,,,
3037,428132.0,516281.0,וַיַּ֖עַשׂ נֹ֑חַ כְּ֠כֹל ,Main,N,wayq,WayX,p3,<FH[,,,,,,,,,
3053,428136.0,516285.0,בֹּֽא־אַתָּ֥ה וְכָל־בֵּיתְךָ֖ אֶל־הַתֵּבָ֑ה ,Main,Q,impv,ZImX,p2,BW>[,,,,,,,,,
3127,428144.0,516294.0,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ ,Main,Q,wqtl,WQt0,p1,MXH[,,,,,,,,,
3139,428146.0,516297.0,וַיַּ֖עַשׂ נֹ֑חַ כְּכֹ֥ל ,Main,N,wayq,WayX,p3,<FH[,,,,,,,,,
3150,428148.0,516299.0,וְנֹ֕חַ בֶּן־שֵׁ֥שׁ מֵאֹ֖ות שָׁנָ֑ה ,Main,N,Ø,NmCl,,,428150.0,516301.0,מַ֖יִם עַל־הָאָֽרֶץ׃ ,SubArg,N,Ø,NmCl,,
3199,428152.0,516303.0,מִן־הַבְּהֵמָה֙ הַטְּהֹורָ֔ה וּמִן־הַ֨בְּהֵמָ֔ה ,Main,N,Ø,Defc,,,428155.0,516308.0,כַּֽאֲשֶׁ֛ר צִוָּ֥ה אֱלֹהִ֖ים אֶת־נֹֽחַ׃ ,SubAdv,N,qtl,xQtX,p3,YWH[
3210,428152.0,516307.0,שְׁנַ֨יִם שְׁנַ֜יִם בָּ֧אוּ אֶל־נֹ֛חַ אֶל־הַתֵּבָ֖ה זָכָ֣ר וּנְקֵבָ֑ה ,Main,N,qtl,XQtl,p3,BW>[,,,,,,,,,
3224,428156.0,516309.0,וַֽיְהִ֖י לְשִׁבְעַ֣ת הַיָּמִ֑ים ,Main,N,wayq,Way0,p3,HJH[,428158.0,516311.0,בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה ,Main,N,qtl,xQtX,p3,BQ<[
3253,428157.0,516310.0,וּמֵ֣י הַמַּבּ֔וּל הָי֖וּ עַל־הָאָֽרֶץ׃ ,Main,N,qtl,WXQt,p3,HJH[,428159.0,516312.0,וַאֲרֻבֹּ֥ת הַשָּׁמַ֖יִם נִפְתָּֽחוּ׃ ,Main,N,qtl,WXQt,p3,PTX[
3262,428158.0,516311.0,בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה ,Main,N,qtl,xQtX,p3,BQ<[,428160.0,516313.0,וַֽיְהִ֥י הַגֶּ֖שֶׁם עַל־הָאָ֑רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָֽיְלָה׃ ,Main,N,wayq,WayX,p3,HJH[
3281,428158.0,516311.0,בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה ,Main,N,qtl,xQtX,p3,BQ<[,428162.0,516315.0,הֵ֜מָּה וְכָל־הַֽחַיָּ֣ה לְמִינָ֗הּ וְכָל־הַבְּהֵמָה֙ לְמִינָ֔הּ וְכָל־הָרֶ֛מֶשׂ ,Main,N,Ø,Ellp,,
3362,428166.0,516320.0,וְ,Main,N,Ø,Defc,,,428167.0,516321.0,הַבָּאִ֗ים ,SubArg,N,ptcp,Ptcp,unknown,BW>[
3365,428166.0,516322.0,זָכָ֨ר וּנְקֵבָ֤ה מִכָּל־בָּשָׂר֙ בָּ֔אוּ ,Main,N,qtl,xQt0,p3,BW>[,,,,,,,,,
3417,428176.0,516331.0,וַתֵּ֥לֶךְ הַתֵּבָ֖ה עַל־פְּנֵ֥י הַמָּֽיִם׃ ,Main,N,wayq,WayX,p3,HLK[,428178.0,516333.0,וַיְכֻסּ֗וּ כָּל־הֶֽהָרִים֙ הַגְּבֹהִ֔ים ,Main,N,wayq,WayX,p3,KSH[
3441,428177.0,516332.0,וְהַמַּ֗יִם גָּֽבְר֛וּ מְאֹ֥ד מְאֹ֖ד עַל־הָאָ֑רֶץ ,Main,N,qtl,WXQt,p3,GBR[,428181.0,516336.0,וַיְכֻסּ֖וּ הֶהָרִֽים׃ ,Main,N,wayq,WayX,p3,KSH[
3495,428185.0,516342.0,כֹּ֡ל ,Main,N,Ø,Defc,,,,,,,,,,,
3633,428201.0,516361.0,וַיַּחְסְר֣וּ הַמַּ֔יִם מִקְצֵ֕ה חֲמִשִּׁ֥ים וּמְאַ֖ת יֹֽום׃ ,Main,N,wayq,WayX,p3,XSR[,428204.0,516364.0,בָּֽעֲשִׂירִי֙ בְּאֶחָ֣ד לַחֹ֔דֶשׁ נִרְא֖וּ רָאשֵׁ֥י הֶֽהָרִֽים׃ ,Main,N,qtl,xQtX,p3,R>H[
3650,428203.0,516363.0,וְהַמַּ֗יִם הָיוּ֙ הָלֹ֣וךְ וְחָסֹ֔ור עַ֖ד הַחֹ֣דֶשׁ הָֽעֲשִׂירִ֑י ,Main,N,qtl,WXQt,p3,HJH[,,,,,,,,,
3668,428206.0,516366.0,וַיִּפְתַּ֣ח נֹ֔חַ אֶת־חַלֹּ֥ון הַתֵּבָ֖ה ,Main,N,wayq,WayX,p3,PTX[,,,,,,,,,
3697,428212.0,516372.0,לִרְאֹות֙ ,SubAdv,N,infc,InfC,unknown,R>H[,,,,,,,,,
3707,428211.0,516371.0,וַיְשַׁלַּ֥ח אֶת־הַיֹּונָ֖ה מֵאִתֹּ֑ו ,Main,N,wayq,Way0,p3,CLX[,428215.0,516375.0,וַתָּ֤שָׁב אֵלָיו֙ אֶל־הַתֵּבָ֔ה ,Main,N,wayq,Way0,p3,CWB[
3773,428225.0,516385.0,וַיֵּ֣דַע נֹ֔חַ ,Main,N,wayq,WayX,p3,JD<[,,,,,,,,,
3793,428228.0,516388.0,וַיְשַׁלַּח֙ אֶת־הַיֹּונָ֔ה ,Main,N,wayq,Way0,p3,CLX[,428230.0,516390.0,שׁוּב־אֵלָ֖יו עֹֽוד׃ ,SubArg,N,infc,InfC,unknown,CWB[
3813,428231.0,516391.0,וַֽ֠יְהִי ,Main,N,wayq,Way0,p3,HJH[,428233.0,516393.0,וַיָּ֤סַר נֹ֨חַ֙ אֶת־מִכְסֵ֣ה הַתֵּבָ֔ה ,Main,N,wayq,WayX,p3,SWR[
3831,428234.0,516394.0,וַיַּ֕רְא ,Main,N,wayq,Way0,p3,R>H[,,,,,,,,,
