,prophetic,prose,instruction,poetry,list
FUT ~ FUT PERF,-0.52,1.03,-0.24,0.83,0.0
MOD should,-0.52,1.03,-0.24,0.83,0.0
MOD could ~ MOD may,-0.52,1.52,-0.24,0.0,0.0
PAST ~ PAST PERF,0.0,0.64,-0.24,0.0,0.0
MOD can ~ PRES,-0.52,-0.0,-0.0,0.95,0.0
MOD should ~ TO INF,0.0,-0.25,-0.24,2.36,0.0
IMPV ~ MOD would,-0.52,1.52,-0.24,0.0,0.0
MOD VB ~ PRES,0.0,-0.25,0.76,0.0,0.0
MOD is to ~ TO INF,-0.52,-0.25,1.73,0.0,0.0
HAB used to ~ MOD would,-0.52,1.52,-0.24,0.0,0.0
HAB used to,-0.52,0.64,-0.24,0.95,0.0
MOD was to,-0.52,1.52,-0.24,0.0,0.0
FUT ~ FUT going-to,0.25,-0.0,-0.24,0.0,0.0
IMPV ~ MOD is to,-0.27,1.01,0.0,0.0,0.0
MOD that be ~ TO INF,-0.27,0.0,1.15,0.0,0.0
MOD was to ~ PAST,-0.27,0.0,0.0,0.0,3.7
PRES ~ PRES PROG,-0.27,1.01,0.0,0.0,0.0
FUT ~ MOD must,-0.27,1.01,0.0,0.0,0.0
IMPV ~ PRES PART,-0.27,1.01,0.0,0.0,0.0
MOD would ~ PRES PART,-0.27,1.01,0.0,0.0,0.0
FUT going-to ~ MOD shall,-0.27,1.01,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.86,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,-0.27,0.28,0.0,1.12,0.0
MOD can ~ MOD let,-0.27,0.28,0.34,0.0,0.0
MOD lest ~ MOD might,-0.27,0.28,0.34,0.0,0.0
MOD may ~ MOD should,-0.27,0.0,0.0,2.82,0.0
MOD let ~ PRES,-0.27,0.28,0.34,0.0,0.0
MOD must ~ PRES,-0.27,0.0,0.34,1.12,0.0
MOD let ~ MOD must,-0.0,0.28,0.0,0.0,0.0
MOD lest ~ PRES PART,-0.27,1.01,0.0,0.0,0.0
MOD lest ~ MOD must,-0.27,1.01,0.0,0.0,0.0
MOD must ~ PRES PART,-0.27,0.28,0.34,0.0,0.0
MOD is to ~ MOD may,0.0,0.51,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,0.51,0.0,0.0,0.0
MOD should ~ MOD would,0.0,0.51,0.0,0.0,0.0
MOD let ~ MOD should,0.0,0.51,0.0,0.0,0.0
MOD let ~ MOD would,0.0,0.0,0.0,0.0,1.85
MOD can ~ TO INF,0.43,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.51,0.0,0.0,0.0
FUT ~ MOD is to,0.0,0.51,0.0,0.0,0.0
FUT ~ MOD VB,0.0,0.51,0.0,0.0,0.0
MOD ~ MOD would,0.0,0.51,0.0,0.0,0.0
MOD would ~ TO INF,0.0,0.51,0.0,0.0,0.0
MOD must,0.0,0.0,0.58,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.58,0.0,0.0
MOD might ~ MOD would,0.0,0.51,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.51,0.0,0.0,0.0
FUT PROG,0.43,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,0.51,0.0,0.0,0.0
FUT ~ MOD that be,0.0,0.0,0.58,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.51,0.0,0.0,0.0
MOD could,0.0,0.51,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,0.51,0.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,0.0,1.85
MOD might,0.0,0.51,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.51,0.0,0.0,0.0
PRES ~ VB,0.43,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.0,0.51,0.0,0.0,0.0
MOD lest ~ PRES,0.0,0.0,0.58,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.51,0.0,0.0,0.0
HAB used to ~ PRES PART,0.0,0.51,0.0,0.0,0.0
MOD could ~ TO INF,0.0,0.51,0.0,0.0,0.0
IMPV ~ MOD VB,0.0,0.51,0.0,0.0,0.0
MOD is to ~ MOD lest,0.43,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.58,0.0,0.0
MOD VB ~ MOD can,0.0,0.51,0.0,0.0,0.0
