eng_TAMsimp,person,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT ~ MOD shall,p2,7.67,3.03,7.41,70.5,8.23,46.67,8.86,70.5,13.3,18.07,inf,13.3,39.86,inf,inf,94.33,inf,inf,285.0,285.0,142.0,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,285.0,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,p2,5.35,4.4,12.37,10.04,62.5,49.8,18.54,62.5,30.75,35.29,7.47,14.88,inf,62.5,inf,126.0,27.22,30.75,253.0,253.0,253.0,253.0,253.0,inf,inf,inf,inf,inf,inf,inf,49.8,inf,inf,inf,inf,inf,126.0,253.0,inf,inf,inf,inf,inf,inf,inf,253.0,253.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,p1,5.05,4.64,16.71,3.96,81.67,123.0,23.8,8.92,40.33,81.67,123.0,16.71,247.0,247.0,123.0,inf,inf,81.67,247.0,61.0,inf,247.0,247.0,81.67,inf,123.0,inf,inf,inf,247.0,247.0,inf,123.0,123.0,inf,247.0,247.0,247.0,inf,inf,inf,inf,inf,247.0,inf,inf,inf,inf,inf,247.0,inf,inf,247.0,inf,inf,inf,inf,247.0,247.0,inf,inf,inf,inf,inf,inf,inf,247.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,p3,6.0,11.44,2.25,4.89,23.89,8.74,19.36,43.8,55.0,111.0,111.0,223.0,223.0,111.0,73.67,111.0,inf,inf,223.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,223.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,p3,6.82,2.71,9.43,inf,5.84,12.69,14.64,inf,11.88,17.25,inf,108.5,30.29,inf,42.8,inf,inf,inf,inf,108.5,inf,inf,218.0,inf,inf,inf,218.0,inf,218.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,218.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,p3,8.71,1.83,24.5,inf,13.57,8.27,5.58,50.0,19.4,50.0,inf,50.0,67.0,inf,50.0,inf,inf,inf,inf,inf,203.0,inf,203.0,inf,67.0,inf,203.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,203.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,p3,7.4,23.0,7.4,11.0,27.0,55.0,55.0,7.0,83.0,inf,4.25,55.0,inf,55.0,inf,167.0,9.5,167.0,inf,167.0,inf,inf,167.0,inf,inf,inf,inf,inf,inf,inf,167.0,41.0,167.0,inf,83.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf,inf,167.0,167.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,167.0,inf,inf,inf,inf,inf,inf,inf,inf,167.0,inf
MOD shall,p3,4.3,4.81,60.0,29.5,11.2,4.81,23.4,inf,7.13,60.0,60.0,23.4,121.0,inf,29.5,39.67,inf,inf,39.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,121.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,p2,3.42,4.23,15.43,inf,37.33,inf,10.5,114.0,6.19,5.76,inf,18.17,inf,inf,inf,114.0,inf,inf,inf,114.0,56.5,inf,inf,114.0,inf,inf,inf,114.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,114.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,p3,10.33,2.64,24.5,inf,6.29,10.33,19.4,16.0,19.4,50.0,inf,50.0,24.5,inf,19.4,101.0,inf,101.0,inf,inf,inf,101.0,inf,inf,inf,inf,101.0,101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.0,inf,101.0,inf,inf,inf,101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.0
MOD let ~ MOD may,p3,0.79,32.33,4.0,inf,11.5,15.67,49.0,inf,inf,99.0,inf,inf,inf,inf,49.0,inf,inf,inf,99.0,inf,inf,inf,inf,inf,inf,99.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p3,1.26,23.25,2.88,47.5,12.86,8.7,96.0,inf,47.5,96.0,inf,inf,96.0,96.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,p3,6.5,44.0,1.37,2.91,21.5,inf,89.0,89.0,89.0,inf,inf,89.0,inf,89.0,44.0,89.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,p2,14.0,2.33,89.0,89.0,21.5,44.0,10.25,3.29,9.0,14.0,inf,21.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,p3,6.09,5.0,8.75,10.14,inf,38.0,14.6,6.8,18.5,18.5,inf,77.0,inf,77.0,25.0,77.0,inf,38.0,inf,inf,77.0,77.0,77.0,inf,77.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,77.0,inf,inf,inf,inf,inf,inf,77.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,p1,3.05,7.56,2.35,8.62,inf,76.0,8.62,76.0,24.67,24.67,inf,76.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,76.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,p1,4.43,5.91,8.5,7.44,37.0,inf,9.86,9.86,37.0,75.0,11.67,24.33,inf,inf,75.0,75.0,75.0,37.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,75.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,p2,11.33,17.5,7.22,4.29,73.0,inf,73.0,17.5,36.0,17.5,36.0,5.17,inf,6.4,inf,inf,73.0,73.0,inf,73.0,inf,73.0,inf,73.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,p3,6.89,4.46,22.67,9.14,9.14,7.88,7.88,70.0,inf,10.83,70.0,70.0,70.0,inf,inf,70.0,inf,70.0,70.0,inf,inf,70.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,70.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,70.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p1,1.54,34.5,0.92,70.0,inf,70.0,inf,inf,70.0,inf,70.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,p3,5.45,9.14,7.88,34.5,34.5,13.2,22.67,22.67,70.0,70.0,4.07,16.75,70.0,inf,22.67,70.0,inf,34.5,70.0,inf,inf,inf,inf,inf,inf,inf,70.0,inf,70.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,p1,2.78,5.18,12.6,16.0,10.33,33.0,16.0,inf,21.67,12.6,inf,12.6,67.0,inf,67.0,inf,inf,inf,inf,67.0,67.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,67.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,p2,58.0,6.38,13.75,1.36,inf,inf,18.67,28.5,18.67,5.56,inf,inf,inf,13.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,p1,3.83,28.0,8.67,10.6,57.0,inf,57.0,inf,57.0,inf,2.62,28.0,inf,inf,inf,inf,7.29,57.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,57.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,p1,10.0,6.86,54.0,10.0,inf,inf,17.33,inf,inf,17.33,0.9,54.0,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p3,9.2,50.0,16.0,2.19,50.0,16.0,inf,7.5,24.5,50.0,16.0,50.0,50.0,24.5,inf,inf,inf,inf,inf,inf,inf,50.0,inf,inf,50.0,inf,50.0,inf,inf,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,p3,5.13,5.13,5.13,4.44,48.0,15.33,23.5,11.25,inf,inf,inf,48.0,inf,inf,inf,48.0,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf
FUT ~ MOD can,p3,6.67,22.0,10.5,10.5,10.5,45.0,14.33,inf,45.0,45.0,2.54,inf,inf,inf,inf,22.0,10.5,45.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,p3,inf,inf,2.46,0.55,44.0,44.0,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,p3,3.5,6.5,8.0,14.0,14.0,21.5,44.0,10.25,inf,inf,10.25,44.0,44.0,inf,44.0,44.0,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,44.0,inf,inf,inf,inf,inf,44.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,p2,10.0,inf,21.0,10.0,43.0,43.0,13.67,7.8,43.0,inf,2.14,21.0,inf,inf,inf,inf,21.0,inf,inf,13.67,inf,inf,43.0,inf,inf,inf,inf,inf,inf,inf,43.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,p3,13.33,inf,13.33,13.33,20.5,inf,inf,13.33,42.0,inf,1.39,inf,inf,inf,inf,inf,9.75,20.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,42.0,inf,42.0,42.0,inf,inf,inf,42.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,p1,42.0,42.0,0.13,13.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,p2,1.15,7.6,4.38,inf,13.33,13.33,20.5,inf,inf,20.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,p3,9.5,20.0,7.4,41.0,2.5,3.67,41.0,41.0,inf,inf,13.0,inf,inf,inf,41.0,41.0,41.0,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,p3,5.0,20.0,1.0,41.0,inf,41.0,41.0,13.0,13.0,inf,41.0,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
