,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PAST ~ PRES PERF,-0.44,-0.33,0.24,-0.43,-0.95,2.69,0.37,1.68,0.23,0.0,0.0
MOD may ~ TO INF,-1.36,-1.29,-0.6,-1.15,-0.95,-0.77,21.26,-0.2,0.0,1.27,0.0
MOD shall ~ MOD should,1.42,0.09,0.9,-0.12,-0.97,-0.78,-0.38,-0.2,0.24,0.0,0.0
IMPV ~ MOD may,-0.74,0.67,0.27,0.12,-0.29,-0.14,1.63,0.6,0.0,0.0,0.0
FUT ~ TO INF,-1.3,0.94,-0.0,0.28,-0.29,0.81,1.13,0.0,0.0,0.0,0.0
MOD would ~ PAST,-0.15,2.04,-0.45,0.0,0.5,-0.14,-0.39,0.21,0.26,0.0,0.0
MOD would ~ PRES,2.13,-0.25,-0.79,0.0,-0.14,0.0,0.0,0.28,0.0,0.0,0.0
FUT ~ IMPV,-1.09,0.81,-0.14,0.56,-0.14,1.09,0.43,0.0,0.0,0.64,0.0
MOD let ~ PRES,-2.16,0.0,-0.14,0.33,-0.6,1.73,0.46,3.24,0.0,0.65,0.0
PAST ~ PRES PART,0.0,0.91,0.0,-0.15,0.0,0.0,0.96,0.0,0.0,0.0,0.0
FUT ~ MOD let,-0.44,-0.12,-0.14,-0.59,0.0,1.81,0.0,1.54,0.0,2.79,0.0
MOD shall ~ PRES PART,0.31,0.0,0.0,-0.6,0.38,-0.4,0.0,0.0,1.0,0.0,0.0
MOD should ~ TO INF,1.78,-0.12,0.36,0.0,-0.39,-0.4,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,1.34,0.12,-0.61,0.16,-0.4,-0.2,-0.21,0.0,1.08,0.0,0.0
FUT ~ PRES PART,0.21,0.13,0.0,0.17,0.0,0.45,-0.21,0.0,0.0,0.75,0.0
MOD let ~ TO INF,-3.2,-1.03,-0.39,-0.4,0.0,0.45,13.07,0.37,0.0,0.0,0.0
MOD lest ~ MOD may,1.45,0.0,0.0,-0.41,0.79,-0.2,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.22,-0.81,0.66,0.18,0.19,-0.2,0.0,0.39,0.45,0.0,0.0
MOD let ~ MOD shall,-0.23,-0.31,0.0,0.0,0.42,0.52,0.24,1.08,0.47,0.0,0.0
FUT ~ PAST,-0.55,0.57,0.0,0.0,0.86,0.0,0.24,0.0,0.0,0.8,0.0
IMPV ~ MOD must,0.8,0.0,0.0,0.0,0.0,-0.21,0.0,0.43,0.0,0.0,0.0
MOD lest ~ PRES,2.03,0.33,-0.41,-0.41,-0.2,-0.21,0.0,0.0,0.5,0.0,0.0
MOD shall ~ PAST,0.23,-0.83,0.19,0.19,0.93,-0.21,0.0,0.0,0.5,0.0,0.0
MOD should ~ MOD would,-0.39,0.33,-0.41,0.83,-0.2,0.0,0.74,0.43,0.5,0.0,0.0
PAST ~ TO INF,0.25,-0.15,0.2,-0.2,0.0,0.61,0.28,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.43,-0.15,0.0,0.49,0.55,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,-0.0,1.57,0.0,-0.21,0.0,0.0,0.0,0.55,0.0,0.0
MOD might,0.27,0.0,0.51,0.0,-0.21,0.25,0.0,0.52,0.0,0.0,0.0
MOD may ~ MOD must,0.27,0.41,-0.21,-0.21,0.6,0.0,0.33,0.0,0.0,0.0,0.0
IMPV ~ MOD can,-0.46,5.69,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,0.46,-0.42,0.57,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.46,0.0,0.0,-0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.0,0.82,-0.21,0.0,0.25,0.0,0.39,0.0,0.66,0.0,0.0
MOD was to ~ PAST,0.53,-0.43,1.26,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,-1.5,0.0,0.64,1.32,0.25,0.0,0.39,0.59,0.0,0.0,0.0
MOD can ~ MOD should,0.84,-0.21,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,-0.56,0.0,0.24,0.0,0.0,0.34,0.43,2.78,0.0,0.0,0.0
MOD let ~ MOD should,-0.56,-0.21,2.27,0.25,0.0,0.0,0.43,0.64,0.0,0.0,0.0
MOD can ~ MOD could,-0.0,0.0,0.24,0.25,0.28,0.0,0.0,0.0,0.71,0.0,0.0
IMPV ~ PAST,-0.36,1.1,0.28,0.0,0.32,0.0,0.48,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.15,0.53,0.0,0.29,0.0,0.39,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,0.15,1.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,-0.36,0.0,0.0,0.85,0.92,0.39,0.0,0.0,0.0,0.0,0.0
MOD lest,0.59,-0.22,0.28,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.97,-0.22,0.28,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-1.26,-0.22,0.81,0.0,0.92,0.39,0.0,0.0,1.86,0.0,0.0
IMPV ~ PRES PART,0.15,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.0,0.0,0.28,0.0,0.32,0.0,1.27,0.0,0.0,0.0,0.0
IMPV ~ TO INF,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,0.17,-0.22,0.32,0.34,0.0,0.0,0.54,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.0,1.29,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.71,-0.22,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.0,0.63,0.32,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.0,-0.22,0.0,0.97,0.0,1.19,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,0.0,0.63,0.0,0.34,0.0,0.0,0.54,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.71,-0.22,0.32,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,-0.37,1.29,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
MOD could ~ MOD might,-0.37,-0.0,0.32,0.0,0.0,0.44,0.54,0.0,0.82,0.0,0.0
FUT going-to ~ MOD shall,1.6,-0.22,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,0.71,-0.22,0.0,0.34,0.0,0.0,0.0,0.0,0.82,0.0,0.0
?VB ~ MOD let,0.0,-0.22,1.78,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.17,-0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,-0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.89,0.0,0.0
MOD VB ~ MOD may,-0.78,0.25,0.38,0.4,0.43,0.0,0.0,0.82,0.0,0.0,0.0
MOD is to ~ MOD must,1.23,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,-0.0,0.0,0.0,0.4,0.43,0.0,0.6,0.0,0.0,0.0,0.0
MOD can ~ MOD let,-0.0,0.25,0.0,0.4,0.43,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,1.23,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,0.45,0.0,0.0,0.4,0.43,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,-0.18,0.25,0.0,0.4,1.19,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,-0.18,0.0,0.0,0.0,0.0,0.0,2.8,0.82,0.0,0.0,0.0
MOD was to,-0.18,0.25,0.0,0.4,1.19,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,-0.0,0.0,0.38,0.0,0.0,0.5,0.0,0.0,0.89,0.0,0.0
MOD should ~ PAST,0.21,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,0.21,0.0,0.46,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,0.21,0.0,0.0,0.0,0.0,0.58,0.69,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.0,0.31,0.46,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,0.21,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.21,0.0,0.0,0.0,0.0,0.58,0.69,0.0,0.0,0.0,0.0
MOD can ~ PAST,-0.52,0.31,0.46,0.48,0.51,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.21,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.21,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-0.52,0.31,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0
MOD could ~ MOD should,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,-0.25,0.0,0.56,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.4,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,0.53,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.53,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD would,-0.25,1.19,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,-0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0
MOD need not ~ MOD shall,-0.25,1.19,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.53,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0
MOD may ~ MOD might,0.0,0.4,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.53,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,-0.25,0.4,0.0,0.0,0.0,0.69,0.0,1.03,0.0,0.0,0.0
MOD let ~ MOD would,-0.25,0.0,0.0,0.0,0.62,0.0,0.0,2.51,0.0,0.0,0.0
IMPV ~ MOD is to,0.53,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.53,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD must,-0.27,0.0,0.71,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD shall,-0.27,0.54,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ MOD let,-0.27,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,-0.27,0.54,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0
MOD is to ~ PRES,-0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0
MOD can ~ MOD must,-0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,-0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0
MOD that be,-0.27,0.0,0.0,0.0,0.78,0.0,0.97,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,-0.27,0.0,0.71,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0
PAST PROG ~ PRES,-0.27,0.54,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD should,-0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,-0.27,0.54,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,-0.27,0.0,0.71,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,-0.27,0.54,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,-0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,-0.27,0.54,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES shall,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
?VB ~ IMPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0
?VB ~ MOD lest,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES can,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD lest,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD let,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ TO INF,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD should,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
IMPV ~ MOD,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
MOD let ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
