eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD was to ~ PAST,0.2,-0.15,0.23,-0.1,-0.09,-0.07,0.06,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD let,-0.36,-0.04,0.12,0.24,0.02,-0.07,0.06,0.08,-0.03,-0.01,-0.0
MOD can ~ MOD should,0.27,-0.15,0.27,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD let ~ PAST,-0.23,-0.03,0.02,-0.1,-0.09,0.05,0.07,0.34,-0.03,-0.01,-0.0
MOD let ~ MOD should,-0.23,-0.15,0.4,0.03,-0.09,-0.07,0.07,0.09,-0.03,-0.01,-0.0
MOD can ~ MOD could,0.02,-0.03,0.02,0.03,0.04,-0.07,-0.06,-0.03,0.1,-0.01,-0.0
IMPV ~ PAST,-0.22,0.27,0.04,-0.1,0.06,-0.07,0.09,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD would,0.07,0.13,-0.1,0.05,-0.09,0.07,-0.06,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD should,0.07,0.27,0.04,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD must,-0.22,-0.01,-0.1,0.19,0.2,0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest,0.21,-0.15,0.04,-0.1,-0.09,-0.07,0.23,-0.03,-0.03,-0.01,-0.0
MOD should ~ MOD was to,0.36,-0.15,0.04,-0.1,0.06,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PAST PERF,-0.36,-0.15,0.18,-0.1,0.2,0.07,-0.06,-0.03,0.26,-0.01,-0.0
IMPV ~ PRES PART,0.07,0.42,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD might ~ MOD would,-0.07,-0.01,0.04,-0.1,0.06,-0.07,0.23,-0.03,-0.03,-0.01,-0.0
IMPV ~ TO INF,-0.07,0.56,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ FUT going-to,0.14,-0.15,0.06,0.07,-0.09,-0.07,0.11,-0.03,-0.03,-0.01,-0.0
PRES PART ~ TO INF,-0.03,0.35,-0.1,-0.1,-0.09,0.09,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD might,0.31,-0.15,0.23,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD could ~ PAST,-0.03,0.18,0.06,-0.1,0.08,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES PERF,-0.03,-0.15,-0.1,0.24,-0.09,0.26,-0.06,-0.03,-0.03,-0.01,-0.0
MOD can ~ TO INF,-0.03,0.18,-0.1,0.07,-0.09,-0.07,0.11,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD may,0.31,-0.15,0.06,-0.1,0.08,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD may ~ PRES PART,-0.19,0.35,-0.1,-0.1,-0.09,-0.07,0.28,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD might,-0.19,0.01,0.06,-0.1,-0.09,0.09,0.11,-0.03,0.14,-0.01,-0.0
FUT going-to ~ MOD shall,0.47,-0.15,-0.1,-0.1,-0.09,-0.07,0.11,-0.03,-0.03,-0.01,-0.0
MOD shall ~ MOD would,0.31,-0.15,-0.1,0.07,-0.09,-0.07,-0.06,-0.03,0.14,-0.01,-0.0
?VB ~ MOD let,-0.03,-0.15,0.4,0.07,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PAST ~ PAST PROG,0.14,0.01,-0.1,-0.1,0.25,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD can ~ PRES PART,0.04,-0.15,-0.1,-0.1,0.31,-0.07,-0.06,-0.03,0.17,-0.01,-0.0
MOD VB ~ MOD may,-0.36,0.05,0.1,0.1,0.11,-0.07,-0.06,0.17,-0.03,-0.01,-0.0
MOD is to ~ MOD must,0.44,-0.15,-0.1,0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD might ~ TO INF,0.04,-0.15,-0.1,0.1,0.11,-0.07,0.14,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD let,0.04,0.05,-0.1,0.1,0.11,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ TO INF,0.44,-0.15,0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD would ~ TO INF,0.24,-0.15,-0.1,0.1,0.11,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD let ~ PRES PART,-0.16,0.05,-0.1,0.1,0.31,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD might ~ PAST,-0.16,-0.15,-0.1,-0.1,-0.09,-0.07,0.54,0.17,-0.03,-0.01,-0.0
MOD was to,-0.16,0.05,-0.1,0.1,0.31,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD might ~ MOD should,0.04,-0.15,0.1,-0.1,-0.09,0.13,-0.06,-0.03,0.17,-0.01,-0.0
MOD should ~ PAST,0.14,-0.15,0.4,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD VB ~ PRES,0.14,-0.15,0.15,-0.1,0.16,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES PROG,0.14,-0.15,-0.1,-0.1,-0.09,0.18,0.19,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD lest,-0.11,0.1,0.15,-0.1,0.16,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
HAB used to,0.14,-0.15,-0.1,-0.1,0.41,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PAST PERF ~ PRES,0.14,-0.15,-0.1,-0.1,-0.09,0.18,0.19,-0.03,-0.03,-0.01,-0.0
MOD can ~ PAST,-0.36,0.1,0.15,0.15,0.16,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD is to,0.14,-0.15,0.15,0.15,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
?VB ~ PAST,0.14,0.35,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES PERF ~ TO INF,-0.36,0.1,-0.1,-0.1,-0.09,-0.07,0.69,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD should,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
?VB,-0.03,-0.15,0.57,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PAST PROG,-0.36,-0.15,0.23,-0.1,0.58,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD shall ~ PRES PERF,-0.03,0.18,-0.1,-0.1,0.25,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD might,0.31,0.18,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD must,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT PROG ~ PRES,0.31,-0.15,-0.1,-0.1,0.25,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD would,-0.36,0.51,0.23,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD that be,-0.36,0.18,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,0.64,-0.01,-0.0
MOD need not ~ MOD shall,-0.36,0.51,0.23,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD may ~ PRES PERF,0.31,-0.15,-0.1,-0.1,-0.09,0.26,-0.06,-0.03,-0.03,-0.01,-0.0
MOD may ~ PAST,-0.03,-0.15,0.23,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,0.32,-0.0
MOD may ~ MOD might,-0.03,0.18,-0.1,0.24,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES PART ~ PRES PERF,0.31,0.18,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD is to ~ PRES PART,-0.03,-0.15,-0.1,-0.1,-0.09,0.59,-0.06,-0.03,-0.03,-0.01,-0.0
MOD let ~ PRES PERF,-0.36,0.18,-0.1,-0.1,-0.09,0.26,-0.06,0.3,-0.03,-0.01,-0.0
MOD let ~ MOD would,-0.36,-0.15,-0.1,-0.1,0.25,-0.07,-0.06,0.63,-0.03,-0.01,-0.0
IMPV ~ MOD is to,0.31,-0.15,-0.1,-0.1,0.25,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD would ~ PRES PART,0.31,-0.15,-0.1,-0.1,-0.09,0.26,-0.06,-0.03,-0.03,-0.01,-0.0
?VB ~ MOD must,-0.36,-0.15,0.4,-0.1,0.41,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
?VB ~ MOD shall,-0.36,0.35,0.4,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
??VB ~ MOD let,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD must ~ MOD should,-0.36,0.35,-0.1,-0.1,-0.09,-0.07,0.44,-0.03,-0.03,-0.01,-0.0
MOD is to ~ PRES,0.14,-0.15,-0.1,-0.1,-0.09,-0.07,0.44,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD must,0.14,-0.15,-0.1,-0.1,-0.09,0.43,-0.06,-0.03,-0.03,-0.01,-0.0
MOD should ~ PRES PERF,0.14,-0.15,-0.1,-0.1,-0.09,-0.07,0.44,-0.03,-0.03,-0.01,-0.0
MOD that be,-0.36,-0.15,-0.1,-0.1,0.41,-0.07,0.44,-0.03,-0.03,-0.01,-0.0
MOD let ~ MOD that be,-0.36,-0.15,0.4,-0.1,-0.09,-0.07,-0.06,-0.03,0.47,-0.01,-0.0
PAST PROG ~ PRES,-0.36,0.35,-0.1,0.4,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD should,0.14,-0.15,0.4,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD shall,-0.36,0.35,0.4,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD is to ~ TO INF,0.14,-0.15,-0.1,-0.1,-0.09,0.43,-0.06,-0.03,-0.03,-0.01,-0.0
MOD need not ~ PRES,-0.36,-0.15,0.4,-0.1,-0.09,0.43,-0.06,-0.03,-0.03,-0.01,-0.0
MOD could ~ TO INF,-0.36,0.35,-0.1,-0.1,0.41,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES PROG,0.14,-0.15,-0.1,-0.1,0.41,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES do,-0.36,0.35,-0.1,-0.1,0.41,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT PERF,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD,-0.36,-0.15,-0.1,0.9,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD quest must,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD quest must ~ MOD shall,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES shall,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD should ~ PRES PART,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
?VB ~ IMPV,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,0.97,-0.01,-0.0
?VB ~ MOD lest,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD that be ~ TO INF,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD was to ~ PRES,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD would ~ PAST PERF,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD ~ PRES,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD would ~ PAST PROG,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT PERF ~ PRES,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT ~ FUT PROG,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES can,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES PERF ~ PRES PROG,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD must ~ TO INF,-0.36,-0.15,-0.1,-0.1,-0.09,0.93,-0.06,-0.03,-0.03,-0.01,-0.0
FUT going-to ~ MOD is to,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PAST PROG ~ PRES PART,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT PROG ~ MOD shall,-0.36,-0.15,-0.1,0.9,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
PRES PART ~ PRES PROG,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
FUT going-to ~ MOD lest,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD lest,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD must ~ PRES shall,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD let,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD shall,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD VB ~ TO INF,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD could ~ PAST PERF,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD VB ~ MOD shall,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD could ~ PRES PERF,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD VB ~ MOD can,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
JJ ~ PRES,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
IMPV ~ PRES PERF,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD lest,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD should,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD is to ~ PRES PROG,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD need not,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD must,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD must ~ PRES PROG,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
MOD let ~ MOD might,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
MOD let ~ VB,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
HAB used to ~ PRES PERF,-0.36,-0.15,-0.1,-0.1,-0.09,0.93,-0.06,-0.03,-0.03,-0.01,-0.0
HAB used to ~ PRES,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD may ~ MOD should,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
HAB used to ~ MOD would,0.64,-0.15,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD may ~ MOD would,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD might ~ PRES PERF,-0.36,-0.15,-0.1,-0.1,-0.09,-0.07,0.94,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES shall,-0.36,0.85,-0.1,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD must ~ MOD quest must,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD must ~ PRES PART,-0.36,-0.15,-0.1,-0.1,0.91,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD that be,-0.36,-0.15,0.9,-0.1,-0.09,-0.07,-0.06,-0.03,-0.03,-0.01,-0.0
