eng_TAMsimp,prose,prophetic,poetry,instruction,list
?MOD would ~ PAST,0.33,-0.17,-0.11,-0.04,-0.02
?MOD let ~ PAST,0.33,-0.17,-0.11,-0.04,-0.02
MOD may ~ PRES,-0.67,0.83,-0.11,-0.04,-0.02
?PRES PERF ~ PAST,-0.67,-0.17,0.89,-0.04,-0.02
?PAST ~ PAST PERF,0.33,-0.17,-0.11,-0.04,-0.02
MOD should ~ PRES,-0.67,-0.17,0.89,-0.04,-0.02
MOD let ~ PRES PART,0.33,-0.17,-0.11,-0.04,-0.02
MOD let ~ PRES,0.33,-0.17,-0.11,-0.04,-0.02
MOD might ~ PRES PERF,-0.67,0.83,-0.11,-0.04,-0.02
MOD let ~ MOD may,-0.67,-0.17,0.89,-0.04,-0.02
MOD is to ~ PRES PERF,-0.67,0.83,-0.11,-0.04,-0.02
MOD must ~ PAST,-0.67,-0.17,0.89,-0.04,-0.02
MOD could ~ MOD might,0.33,-0.17,-0.11,-0.04,-0.02
IMPV ~ PRES PART,-0.67,-0.17,-0.11,-0.04,0.98
IMPV ~ PRES,-0.67,-0.17,0.89,-0.04,-0.02
MOD must ~ PRES,-0.67,0.83,-0.11,-0.04,-0.02
MOD should ~ MOD would,0.33,-0.17,-0.11,-0.04,-0.02
MOD should ~ TO INF,0.33,-0.17,-0.11,-0.04,-0.02
PAST ~ PAST PERF PROG,0.33,-0.17,-0.11,-0.04,-0.02
FUT ~ MOD would,-0.67,-0.17,0.89,-0.04,-0.02
MOD would ~ PRES,-0.67,-0.17,0.89,-0.04,-0.02
?TO INF ~ PRES,-0.67,-0.17,0.89,-0.04,-0.02
PAST PERF ~ TO INF,0.33,-0.17,-0.11,-0.04,-0.02
?PRES ~ TO INF,-0.67,0.83,-0.11,-0.04,-0.02
PAST PROG ~ PRES PART,0.33,-0.17,-0.11,-0.04,-0.02
PAST PROG ~ PRES PERF,0.33,-0.17,-0.11,-0.04,-0.02
?PRES ~ FUT,-0.67,-0.17,0.89,-0.04,-0.02
?PRES ~ ?VB,-0.67,0.83,-0.11,-0.04,-0.02
?PAST ~ PRES PERF,0.33,-0.17,-0.11,-0.04,-0.02
PAST PROG ~ PRES PERF PROG,0.33,-0.17,-0.11,-0.04,-0.02
??PAST ~ ?PAST,0.33,-0.17,-0.11,-0.04,-0.02
