eng_TAMsimp,prose,prophetic,instruction,poetry,list
MOD must ~ MOD should,0.2,-0.29,-0.21,0.3,-0.01
MOD need not ~ PRES,-0.3,0.21,0.29,-0.2,-0.01
MOD should ~ PRES PERF,0.2,0.21,-0.21,-0.2,-0.01
MOD lest ~ MOD let,0.2,-0.29,-0.21,0.3,-0.01
MOD is to ~ PRES,0.7,-0.29,-0.21,-0.2,-0.01
MOD lest ~ MOD shall,0.2,0.21,-0.21,-0.2,-0.01
MOD can ~ MOD must,0.2,-0.29,-0.21,0.3,-0.01
MOD let ~ MOD that be,0.2,-0.29,-0.21,0.3,-0.01
MOD could ~ TO INF,0.2,-0.29,-0.21,0.3,-0.01
PRES ~ PRES do,-0.3,-0.29,-0.21,0.8,-0.01
MOD lest ~ MOD should,-0.3,-0.29,-0.21,0.8,-0.01
MOD should ~ PRES PART,0.7,-0.29,-0.21,-0.2,-0.01
FUT ~ PRES shall,-0.3,-0.29,0.79,-0.2,-0.01
FUT PROG ~ MOD shall,-0.3,-0.29,0.79,-0.2,-0.01
MOD that be ~ TO INF,-0.3,-0.29,0.79,-0.2,-0.01
MOD was to ~ PRES,0.7,-0.29,-0.21,-0.2,-0.01
MOD would ~ PAST PERF,-0.3,0.71,-0.21,-0.2,-0.01
FUT going-to ~ MOD is to,-0.3,0.71,-0.21,-0.2,-0.01
FUT going-to ~ MOD lest,0.7,-0.29,-0.21,-0.2,-0.01
MOD would ~ PAST PROG,-0.3,-0.29,-0.21,0.8,-0.01
MOD ~ MOD let,0.7,-0.29,-0.21,-0.2,-0.01
FUT ~ MOD was to,-0.3,-0.29,-0.21,0.8,-0.01
FUT going-to ~ MOD may,0.7,-0.29,-0.21,-0.2,-0.01
FUT ~ MOD,0.7,-0.29,-0.21,-0.2,-0.01
MOD ~ PRES,0.7,-0.29,-0.21,-0.2,-0.01
FUT ~ FUT PERF,0.7,-0.29,-0.21,-0.2,-0.01
FUT ~ FUT PROG,-0.3,-0.29,-0.21,0.8,-0.01
