,prophetic,prose,instruction,poetry,list
MOD let ~ MOD shall,0.0,0.0,1.04,-0.84,0.0
HAB used to ~ PAST,-0.44,3.16,-1.09,-0.15,0.0
MOD may ~ TO INF,-0.44,2.35,-0.5,-0.15,0.0
FUT ~ MOD should,-0.0,-0.27,-0.5,1.31,0.0
IMPV ~ MOD must,-0.44,3.16,-0.5,-0.85,0.0
IMPV ~ MOD let,0.0,0.3,0.53,-0.63,0.0
PAST ~ TO INF,-0.28,-0.0,-0.32,0.37,2.67
IMPV ~ MOD can,-1.66,-0.13,-1.11,5.13,0.0
MOD may ~ MOD must,-1.43,0.84,1.22,-0.65,0.0
PAST ~ PAST PERF,-0.73,0.84,-0.89,1.06,0.0
MOD was to ~ PAST,-0.14,0.15,0.35,0.0,0.0
MOD can ~ MOD should,0.15,0.65,-0.68,0.0,0.0
MOD can ~ MOD could,-0.35,0.35,-0.68,1.4,0.0
FUT ~ MOD must,0.0,-0.0,-0.44,0.94,0.0
MOD should ~ MOD was to,-0.97,1.75,-0.44,0.21,0.0
MOD could ~ MOD would,1.1,0.18,-0.46,-0.22,0.0
MOD let ~ MOD must,-0.73,1.32,0.2,-0.22,0.0
MOD could ~ PAST,-0.73,0.18,-0.46,1.94,0.0
MOD is to ~ MOD may,-0.73,0.18,1.53,-0.22,0.0
FUT going-to ~ MOD shall,-0.17,2.19,-0.46,-0.22,0.0
PRES PART ~ TO INF,-0.17,-0.45,0.84,0.53,0.0
FUT ~ PRES PERF,-0.0,0.7,-0.46,0.0,0.0
MOD shall ~ MOD would,-0.73,0.18,0.0,1.12,0.0
MOD lest ~ MOD might,-0.17,1.32,0.0,-0.22,0.0
MOD might ~ MOD would,-0.0,-0.45,0.0,1.12,0.0
PAST ~ PAST PROG,-0.0,0.7,-0.46,0.0,0.0
MOD may ~ PRES PART,0.75,0.21,-0.22,-0.23,0.0
MOD can ~ TO INF,0.0,0.0,-0.22,1.36,0.0
MOD is to ~ MOD must,0.0,1.69,-0.22,-0.23,0.0
MOD would ~ TO INF,0.0,0.0,-0.22,1.36,0.0
MOD lest ~ TO INF,-0.48,1.69,0.0,-0.23,0.0
IMPV ~ PRES PART,0.0,0.91,0.0,-0.23,0.0
MOD might ~ MOD should,-0.48,0.91,-0.22,0.65,0.0
MOD might ~ TO INF,0.19,0.0,-0.22,0.65,0.0
MOD can ~ PRES PART,0.0,0.0,-0.22,1.36,0.0
FUT ~ FUT going-to,-0.48,2.86,-0.22,-0.23,0.0
MOD VB ~ MOD may,0.19,-0.48,0.0,0.65,0.0
MOD might ~ PAST,0.75,-0.48,-0.22,0.65,0.0
FUT ~ MOD is to,0.0,1.21,-0.24,0.0,0.0
IMPV ~ TO INF,0.0,-0.24,0.63,0.26,0.0
IMPV ~ PAST,1.03,-0.24,-0.24,0.26,0.0
MOD can ~ PAST,1.03,0.0,-0.24,0.0,0.0
IMPV ~ MOD lest,0.23,0.0,-0.24,0.26,0.0
MOD VB ~ PRES,-0.5,-0.24,-0.24,2.98,0.0
MOD could ~ MOD might,-0.5,2.29,-0.24,0.0,0.0
?VB ~ PAST,-0.5,0.53,-0.24,0.82,0.0
MOD should ~ PAST,0.0,0.0,-0.24,0.82,0.0
PAST PERF ~ PRES,0.0,0.53,-0.24,0.26,0.0
PRES PERF ~ TO INF,2.03,-0.24,-0.24,0.0,0.0
MOD let ~ MOD may,0.0,0.0,-0.0,0.26,0.0
MOD shall ~ PRES PERF,-0.25,1.71,0.0,0.0,0.0
MOD would ~ PRES PART,-0.0,-0.0,0.0,0.35,0.0
MOD may ~ MOD might,-0.0,-0.0,0.0,0.35,0.0
PRES PART ~ PRES PERF,-0.0,-0.24,0.0,1.07,0.0
MOD can ~ MOD let,-0.25,1.71,0.0,0.0,0.0
MOD could ~ MOD must,-0.25,-0.24,0.0,2.24,0.0
MOD could ~ MOD should,-0.0,0.75,0.0,0.0,0.0
FUT ~ MOD that be,-0.25,0.75,0.26,0.0,0.0
MOD lest ~ MOD would,-0.25,0.75,0.26,0.0,0.0
FUT ~ PRES PROG,-0.0,0.75,0.0,0.0,0.0
FUT PROG ~ PRES,-0.25,-0.24,0.86,0.35,0.0
MOD is to ~ PRES PART,-0.25,0.75,0.0,0.35,0.0
IMPV ~ MOD is to,-0.25,1.71,0.0,0.0,0.0
MOD can ~ MOD might,-0.25,1.71,0.0,0.0,0.0
MOD must ~ MOD should,0.0,0.33,0.0,0.49,0.0
MOD can ~ MOD must,0.0,0.33,0.0,0.49,0.0
MOD should ~ PRES PERF,0.28,0.33,0.0,0.0,0.0
IMPV ~ MOD should,1.01,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.0,0.0,0.38,0.49,0.0
MOD need not ~ MOD shall,0.0,0.33,0.0,0.49,0.0
MOD may ~ PAST,0.0,0.33,0.0,0.49,0.0
MOD need not ~ PRES,0.28,0.0,0.38,0.0,0.0
PAST PROG ~ PRES,0.28,0.0,0.0,0.49,0.0
MOD lest ~ MOD shall,0.28,0.33,0.0,0.0,0.0
PRES ~ PRES do,0.0,0.0,0.0,1.49,0.0
MOD let ~ PAST,0.0,0.0,0.38,0.49,0.0
MOD is to ~ TO INF,0.0,0.33,0.0,0.49,0.0
MOD lest ~ MOD should,0.0,0.0,0.0,1.49,0.0
MOD let ~ TO INF,0.0,1.14,0.0,0.0,0.0
MOD could ~ TO INF,0.0,0.33,0.0,0.49,0.0
HAB used to ~ PRES,0.0,0.57,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,0.57,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.63,0.0,0.0
FUT going-to ~ MOD is to,0.51,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,0.0,0.75,0.0
MOD should ~ PRES PART,0.0,0.57,0.0,0.0,0.0
FUT ~ PRES shall,0.0,0.0,0.63,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.57,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.63,0.0,0.0
MOD was to ~ PRES,0.0,0.57,0.0,0.0,0.0
MOD would ~ PAST PERF,0.51,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,0.0,0.0,0.0,0.75,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.75,0.0
PRES ~ PRES can,0.0,0.57,0.0,0.0,0.0
FUT ~ MOD,0.0,0.57,0.0,0.0,0.0
MOD ~ PRES,0.0,0.57,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.0,0.0,0.75,0.0
PRES PART ~ PRES PROG,0.0,0.57,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.51,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.0,0.63,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,0.0,0.75,0.0
MOD may ~ MOD should,0.0,0.0,0.0,0.75,0.0
MOD lest ~ MOD let,0.0,0.57,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.57,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.57,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,0.57,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,0.63,0.0,0.0
MOD is to ~ MOD lest,0.51,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,0.0,0.75,0.0
MOD could ~ PAST PERF,0.0,0.57,0.0,0.0,0.0
MOD let ~ MOD should,0.0,0.57,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.57,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.0,0.0,0.75,0.0
MOD let ~ PRES PART,0.0,0.57,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,0.0,0.0,0.75,0.0
MOD may ~ MOD would,0.0,0.57,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.57,0.0,0.0,0.0
MOD can ~ MOD lest,0.0,0.57,0.0,0.0,0.0
MOD VB ~ TO INF,0.0,0.0,0.0,0.75,0.0
MOD VB ~ MOD shall,0.51,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.51,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,0.0,0.75,0.0
JJ ~ PRES,0.0,0.0,0.0,0.75,0.0
MOD must ~ MOD quest must,0.51,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,0.51,0.0,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,0.63,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.75,0.0
MOD must ~ PRES shall,0.0,0.0,0.63,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,0.63,0.0,0.0
MOD must ~ TO INF,0.0,0.57,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.57,0.0,0.0,0.0
